timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1685917474.945,-56.152,255.859,11.719,-47.852,19225.045
1685917474.949,17.578,387.207,69.336,-21.484,19225.049
1685917474.953,40.527,185.547,-45.898,-13.184,19225.053
1685917474.957,-32.715,89.355,-40.039,-37.109,19225.057
1685917474.961,-70.312,195.312,7.812,-48.340,19225.061
1685917474.965,-4.883,93.750,-116.211,-22.949,19225.065
1685917474.968,30.762,-475.586,-352.539,-5.371,19225.069
1685917474.972,-29.297,-730.957,-397.461,-31.738,19225.073
1685917474.976,-83.008,2.930,-13.184,-50.293,19225.076
1685917474.980,-39.062,284.180,49.316,-34.180,19225.080
1685917474.984,20.508,-104.980,-122.070,-20.508,19225.084
1685917474.988,-8.789,-68.359,-50.781,-32.227,19225.088
1685917474.991,-43.945,245.117,26.367,-25.391,19225.104
1685917474.995,-63.477,-175.781,-252.441,-24.414,19225.108
1685917474.998,0.977,-273.926,-174.805,-7.324,19225.112
1685917475.002,34.180,198.730,54.199,-13.672,19225.116
1685917475.006,-26.367,390.137,29.785,-25.879,19225.120
1685917475.010,-73.242,34.180,-188.477,-28.320,19225.124
1685917475.014,-27.832,-805.176,-503.418,-28.809,19225.128
1685917475.018,25.879,-401.855,-163.574,-27.344,19225.131
1685917475.021,-10.742,428.223,111.328,-39.062,19225.137
1685917475.025,-68.848,8.789,-181.152,-42.480,19225.141
1685917475.029,-18.555,-97.656,-172.363,-16.602,19225.145
1685917475.033,25.879,363.281,94.238,-20.020,19225.149
1685917475.037,-24.902,445.801,44.434,-43.945,19225.153
1685917475.041,-93.262,-309.082,-290.527,-35.645,19225.157
1685917475.044,-83.496,-607.910,-375.000,-21.484,19225.161
1685917475.048,-0.977,155.762,-16.602,-14.160,19225.165
1685917475.052,4.395,390.625,68.359,-18.066,19225.169
1685917475.056,-71.289,-226.562,-197.754,-27.832,19225.172
1685917475.060,-83.008,-298.828,-164.551,-27.344,19225.176
1685917475.064,-12.207,215.820,36.621,-17.578,19225.180
1685917475.081,15.137,138.672,-59.570,-19.531,19225.180
1685917475.085,-49.316,-548.828,-410.156,-29.297,19225.183
1685917475.089,-85.449,-549.805,-279.785,-35.156,19225.187
1685917475.093,-25.391,259.766,97.168,-20.996,19225.191
1685917475.097,20.996,260.742,-30.273,-2.930,19225.195
1685917475.101,-23.438,-366.211,-279.297,-14.160,19225.199
1685917475.104,-78.125,-398.926,-268.555,-35.645,19225.203
1685917475.108,-46.387,195.801,-27.832,-30.762,19225.207
1685917475.112,21.484,145.508,-57.129,-18.555,19225.211
1685917475.116,-3.418,-391.602,-277.344,-30.762,19225.215
1685917475.120,-86.914,-139.648,-119.141,-45.410,19225.219
1685917475.124,-79.590,249.023,23.926,-34.668,19225.223
1685917475.125,-4.395,51.758,-89.355,-21.973,19225.225
1685917475.129,15.137,42.480,-84.961,-29.297,19225.229
1685917475.133,-55.176,169.434,0.488,-52.734,19225.232
1685917475.137,-80.078,-72.754,-208.496,-41.504,19225.236
1685917475.141,-10.742,-412.109,-314.941,-18.555,19225.240
1685917475.145,20.996,-510.742,-296.387,-25.879,19225.244
1685917475.148,-25.391,-146.484,-201.172,-39.551,19225.248
1685917475.152,-74.707,168.457,-135.742,-46.387,19225.252
1685917475.156,-38.574,-397.949,-334.473,-29.297,19225.256
1685917475.160,18.555,-599.121,-260.742,-23.926,19225.260
