timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1686015819.322,4.883,-791.504,16.602,17.090,117583.743
1686015819.326,20.508,-415.039,-2.930,38.086,117583.747
1686015819.330,25.391,-512.695,-58.105,40.527,117583.751
1686015819.334,17.578,-886.230,-27.344,24.414,117583.755
1686015819.338,17.578,-868.164,-8.301,31.738,117583.759
1686015819.342,21.973,-791.992,-21.973,43.457,117583.763
1686015819.345,10.254,-860.352,-10.742,33.691,117583.766
1686015819.349,0.000,-983.398,-44.434,25.879,117583.770
1686015819.353,5.371,-1000.000,-23.926,33.203,117583.774
1686015819.357,9.766,-728.516,45.898,27.344,117583.778
1686015819.361,3.418,-660.156,-17.090,25.879,117583.782
1686015819.365,-8.789,-896.973,-59.082,20.508,117583.786
1686015819.369,-10.254,-777.832,6.836,9.766,117583.791
1686015819.373,-2.930,-428.711,16.602,21.973,117583.795
1686015819.377,3.906,-414.062,-31.738,24.414,117583.798
1686015819.381,-0.488,-780.762,-47.852,10.254,117583.802
1686015819.385,-0.977,-721.680,-31.250,2.930,117583.806
1686015819.389,3.418,-725.586,-11.230,10.742,117583.810
1686015819.392,-4.395,-885.254,-24.902,17.090,117583.814
1686015819.396,-15.137,-950.195,-16.602,6.836,117583.818
1686015819.400,-15.625,-808.105,44.434,-2.930,117583.822
1686015819.404,0.000,-501.953,4.395,2.441,117583.826
1686015819.408,3.906,-517.090,-33.691,-0.488,117583.830
1686015819.412,2.930,-689.941,-12.207,-19.531,117583.834
1686015819.413,3.906,-773.926,-23.438,-26.367,117583.836
1686015819.417,4.395,-776.855,-6.836,-13.184,117583.840
1686015819.421,5.859,-687.500,-23.926,0.488,117583.844
1686015819.425,-4.883,-736.816,14.160,-2.930,117583.848
1686015819.429,-10.254,-704.590,-10.742,-18.066,117583.852
1686015819.433,-3.906,-908.691,-22.949,-18.066,117583.856
1686015819.436,3.906,-979.492,-20.020,-4.395,117583.859
1686015819.440,1.953,-987.793,-9.277,4.395,117583.863
1686015819.444,-2.930,-721.191,51.270,-6.348,117583.867
1686015819.448,-5.859,-547.852,-25.391,-13.672,117583.871
1686015819.452,2.441,-788.574,-41.016,10.742,117583.875
1686015819.456,19.531,-630.371,3.418,37.598,117583.879
1686015819.459,4.883,-411.133,-10.254,15.625,117583.893
1686015819.463,-17.090,-531.250,-27.344,-9.766,117583.897
1686015819.467,-12.695,-882.812,-46.875,-7.324,117583.901
1686015819.471,-11.719,-891.602,4.883,-6.348,117583.905
1686015819.475,-20.020,-596.191,2.441,-11.230,117583.909
1686015819.479,-27.344,-806.152,-54.688,-15.625,117583.913
1686015819.482,-23.926,-1000.000,-59.570,-16.602,117583.917
1686015819.486,-19.043,-863.281,80.566,-11.230,117583.921
1686015819.490,-18.555,-453.613,47.363,-18.066,117583.924
1686015819.494,-17.090,-517.090,-55.664,-28.320,117583.928
1686015819.498,-19.531,-795.898,26.367,-31.738,117583.932
1686015819.502,-18.066,-611.328,20.996,-31.250,117583.936
1686015819.502,-19.043,-466.309,-34.668,-30.762,117583.938
1686015819.506,-15.137,-666.504,-52.734,-36.133,117583.942
1686015819.510,-19.043,-866.211,-11.719,-33.691,117583.946
1686015819.514,-24.902,-639.160,24.902,-17.090,117583.950
1686015819.518,-18.066,-598.633,-19.043,-11.230,117583.953
1686015819.522,-20.020,-937.012,-37.109,-15.137,117583.957
1686015819.525,-27.344,-1000.000,13.672,-21.484,117583.961
1686015819.529,-29.297,-973.145,24.902,-19.043,117583.965
1686015819.533,-30.273,-911.621,-10.254,-15.625,117583.969
1686015819.537,-31.738,-892.578,-33.691,-23.438,117583.973
1686015819.541,-27.832,-977.051,46.387,-26.855,117583.977
1686015819.545,-23.438,-663.086,59.082,-34.668,117583.981
1686015819.563,-13.672,-443.359,-20.508,-22.949,117583.985
1686015819.567,-12.207,-695.312,-40.527,-17.578,117583.989
1686015819.571,-16.113,-676.270,-25.391,-32.715,117583.993
1686015819.575,-23.926,-561.035,-5.371,-35.645,117583.997
1686015819.579,-22.949,-521.484,-29.785,-30.762,117584.001
1686015819.583,-13.184,-866.211,-42.480,-28.320,117584.005
1686015819.586,-12.695,-906.250,19.531,-31.738,117584.009
1686015819.590,-8.789,-612.793,-10.254,-43.457,117584.013
1686015819.594,3.906,-774.902,-49.805,-32.227,117584.016
1686015819.598,12.207,-998.535,-15.137,-3.418,117584.020
1686015819.602,3.906,-803.711,59.082,1.953,117584.024
1686015819.606,-4.395,-550.293,5.371,-11.719,117584.028
1686015819.607,0.488,-707.520,-35.645,-6.836,117584.028
1686015819.611,5.859,-755.371,18.555,-3.906,117584.032
1686015819.615,-0.977,-489.258,0.488,-16.113,117584.036
1686015819.619,-9.766,-489.258,-32.227,-28.809,117584.040
1686015819.623,-14.160,-758.789,-40.527,-43.457,117584.044
1686015819.627,-18.555,-957.031,-19.043,-39.551,117584.048
1686015819.630,-18.555,-908.203,2.441,-26.855,117584.052
1686015819.634,-16.602,-769.531,20.996,-28.320,117584.056
1686015819.638,-17.578,-821.777,-33.691,-30.762,117584.060
1686015819.642,-8.789,-980.957,-10.742,-13.672,117584.064
1686015819.646,-12.207,-676.758,37.598,-14.648,117584.067
1686015819.650,-20.020,-740.234,-36.133,-26.367,117584.071
1686015819.654,-22.461,-993.164,-38.574,-30.273,117584.076
1686015819.658,-20.508,-732.422,50.293,-23.438,117584.080
1686015819.662,-17.578,-436.035,31.738,-18.066,117584.083
1686015819.666,-20.996,-476.562,-21.484,-29.785,117584.087
1686015819.670,-23.926,-838.867,-20.996,-39.062,117584.091
1686015819.674,-30.273,-1000.000,-8.301,-41.504,117584.095
1686015819.677,-26.855,-806.152,31.250,-38.086,117584.099
1686015819.681,-20.020,-561.035,-8.789,-36.621,117584.103
1686015819.685,-30.762,-893.555,-44.434,-41.504,117584.107
1686015819.689,-38.574,-846.680,57.129,-53.223,117584.111
1686015819.693,-28.809,-445.801,25.391,-55.176,117584.115
1686015819.697,-29.297,-481.445,-33.691,-44.434,117584.119
1686015819.698,-40.527,-722.656,-15.137,-50.293,117584.122
1686015819.702,-35.156,-844.238,-19.531,-50.293,117584.125
1686015819.706,-20.508,-781.250,24.414,-38.086,117584.129
1686015819.710,-20.020,-626.953,-17.090,-34.668,117584.133
1686015819.714,-28.320,-887.207,-24.414,-51.758,117584.137
1686015819.718,-35.156,-1000.000,-2.930,-59.082,117584.141
1686015819.721,-29.785,-942.871,-10.742,-48.340,117584.145
1686015819.725,-20.996,-910.156,-19.531,-38.086,117584.149
1686015819.729,-27.344,-991.699,-9.766,-38.086,117584.153
1686015819.733,-31.250,-760.254,58.594,-52.734,117584.157
1686015819.737,-33.203,-551.270,2.441,-54.199,117584.161
1686015819.741,-39.062,-761.719,-30.273,-42.969,117584.165
1686015819.744,-30.762,-600.098,7.812,-30.762,117584.166
1686015819.748,-28.809,-407.715,-9.766,-33.691,117584.170
1686015819.752,-40.039,-703.125,-55.176,-43.457,117584.174
1686015819.756,-33.691,-942.383,-24.902,-35.156,117584.178
1686015819.760,-22.949,-843.750,-1.953,-30.273,117584.182
1686015819.764,-32.715,-874.023,-12.695,-34.180,117584.186
1686015819.767,-32.227,-943.359,-5.859,-26.855,117584.190
1686015819.771,-26.855,-998.047,-41.992,-12.695,117584.194
1686015819.775,-22.949,-844.238,78.125,-13.184,117584.198
1686015819.779,-21.973,-416.016,56.152,-28.809,117584.202
1686015819.783,-28.320,-521.484,-43.457,-43.945,117584.206
1686015819.787,-27.832,-782.715,19.043,-48.828,117584.209
1686015819.788,-20.996,-498.535,15.137,-47.852,117584.208
1686015819.792,-12.695,-379.883,-29.785,-40.039,117584.212
1686015819.796,-17.090,-671.387,-29.297,-34.668,117584.216
1686015819.800,-18.555,-807.129,17.578,-31.738,117584.220
1686015819.804,-20.508,-605.469,-2.930,-21.484,117584.224
1686015819.808,-16.602,-786.133,-17.578,-20.508,117584.228
1686015819.811,-19.531,-965.820,-13.672,-28.809,117584.232
1686015819.815,-19.531,-1000.000,-28.320,-29.297,117584.236
1686015819.819,-13.672,-916.016,91.309,-27.344,117584.239
1686015819.823,-17.090,-511.719,54.199,-27.344,117584.243
1686015819.827,-23.926,-672.363,-46.875,-33.691,117584.247
1686015819.831,-31.250,-767.578,12.695,-38.574,117584.251
1686015819.834,-30.762,-458.496,16.113,-30.762,117584.268
1686015819.838,-27.344,-402.832,-17.090,-18.555,117584.272
1686015819.842,-31.738,-708.008,-40.527,-24.902,117584.276
1686015819.846,-42.969,-708.984,-35.156,-38.086,117584.279
1686015819.850,-40.039,-575.195,-2.441,-31.738,117584.283
1686015819.854,-33.691,-759.277,-12.695,-16.113,117584.287
1686015819.857,-34.668,-964.355,-32.227,-16.602,117584.291
1686015819.861,-36.621,-794.922,42.480,-23.438,117584.295
1686015819.865,-34.180,-611.328,6.836,-14.648,117584.299
1686015819.869,-32.715,-788.086,-49.316,-8.301,117584.303
1686015819.873,-31.738,-904.785,22.949,-18.066,117584.307
1686015819.877,-26.367,-630.371,29.785,-25.391,117584.311
1686015819.877,-31.738,-507.812,-24.414,-26.855,117584.313
1686015819.881,-32.227,-697.266,-11.719,-18.555,117584.317
1686015819.885,-26.367,-735.352,13.184,5.371,117584.321
1686015819.889,-26.367,-502.930,-0.488,25.879,117584.325
1686015819.893,-28.809,-602.539,-29.297,29.297,117584.329
1686015819.897,-28.320,-903.320,-29.297,23.926,117584.333
1686015819.900,-16.602,-1000.000,22.461,32.715,117584.337
1686015819.904,-21.973,-791.016,64.941,25.879,117584.340
1686015819.908,-29.785,-545.410,-25.879,7.812,117584.344
1686015819.912,-28.809,-798.828,-31.250,5.859,117584.348
1686015819.916,-27.344,-745.605,67.383,15.137,117584.352
1686015819.920,-29.785,-513.184,14.648,17.578,117584.356
1686015819.937,-33.691,-822.754,-43.457,14.160,117584.358
1686015819.941,-31.738,-991.211,-45.410,9.766,117584.362
1686015819.945,-27.344,-691.406,29.785,9.277,117584.366
1686015819.949,-23.438,-423.828,24.902,11.230,117584.370
1686015819.953,-29.785,-542.480,-38.574,4.883,117584.374
1686015819.957,-30.762,-934.082,-55.176,4.883,117584.378
1686015819.960,-20.020,-913.086,23.438,8.301,117584.381
1686015819.964,-21.973,-474.609,15.137,0.977,117584.385
1686015819.968,-32.227,-626.465,-72.754,-3.418,117584.389
1686015819.972,-37.109,-980.469,-33.691,-1.953,117584.393
1686015819.976,-30.762,-735.352,41.504,-5.371,117584.397
1686015819.980,-21.973,-443.848,-0.488,-1.953,117584.401
1686015819.998,-23.438,-545.410,-39.551,-6.348,117584.433
1686015820.002,-34.668,-839.844,-20.020,-21.484,117584.437
1686015820.006,-32.227,-941.895,0.000,-12.695,117584.440
1686015820.010,-24.414,-729.980,14.648,-3.418,117584.444
1686015820.014,-24.902,-686.035,-36.133,-10.742,117584.448
1686015820.018,-28.320,-974.121,-29.785,-6.348,117584.452
1686015820.021,-24.414,-1000.000,30.273,1.465,117584.456
1686015820.025,-17.578,-757.324,19.043,19.531,117584.460
1686015820.029,-21.484,-696.289,-24.902,34.180,117584.464
1686015820.033,-25.391,-901.367,40.039,38.574,117584.468
1686015820.037,-25.879,-640.625,40.527,37.109,117584.472
1686015820.041,-20.996,-541.992,-24.902,41.992,117584.476
1686015820.029,-13.184,-789.062,-35.645,55.176,117584.451
1686015820.033,-12.207,-683.105,-24.414,59.570,117584.455
1686015820.037,-21.484,-530.273,0.000,56.152,117584.459
1686015820.041,-23.926,-636.719,-13.672,59.570,117584.463
1686015820.045,-19.043,-879.395,-27.344,66.406,117584.467
1686015820.049,-17.578,-952.637,-21.484,59.570,117584.471
1686015820.052,-28.809,-947.754,-19.043,38.574,117584.475
1686015820.056,-35.156,-986.816,-12.207,31.738,117584.478
1686015820.060,-23.926,-911.621,53.711,45.410,117584.482
1686015820.064,-20.996,-629.883,48.828,49.805,117584.486
1686015820.068,-30.273,-473.633,-19.043,43.945,117584.490
1686015820.072,-36.133,-706.543,-45.898,40.039,117584.494
