timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1686016981.732,-48.828,311.523,247.070,-57.129,118746.168
1686016981.736,-51.758,148.926,54.199,-63.965,118746.172
1686016981.740,-37.109,-138.672,-9.277,-40.527,118746.175
1686016981.744,-23.926,166.992,124.512,-14.648,118746.179
1686016981.748,-35.156,313.477,129.395,-26.367,118746.183
1686016981.752,-57.617,-216.309,-168.457,-38.574,118746.187
1686016981.755,-48.828,-490.723,-101.562,-19.043,118746.191
1686016981.759,-31.250,86.426,195.312,0.488,118746.195
1686016981.763,-21.484,307.129,136.230,8.789,118746.199
1686016981.767,-27.832,-218.262,-125.977,8.789,118746.203
1686016981.771,-54.688,-848.633,-312.988,18.555,118746.207
1686016981.775,-36.621,-334.961,84.961,43.945,118746.211
1686016981.778,-22.461,73.242,196.289,53.711,118746.212
1686016981.782,-40.527,-346.191,-9.766,25.391,118746.216
1686016981.786,-41.992,-539.551,-0.977,16.113,118746.220
1686016981.790,-27.832,93.262,204.590,32.715,118746.224
1686016981.794,-11.230,423.828,224.121,42.969,118746.228
1686016981.798,-14.160,-162.109,-61.523,29.785,118746.232
1686016981.801,-23.438,-414.062,-83.008,1.465,118746.235
1686016981.805,-15.625,102.051,176.270,3.418,118746.239
1686016981.809,-5.371,107.422,119.141,23.926,118746.243
1686016981.813,-3.906,-438.965,-141.602,24.902,118746.247
1686016981.817,-5.859,-380.371,-12.695,7.812,118746.251
1686016981.821,-15.137,22.461,158.203,12.695,118746.255
1686016981.836,-3.418,-132.812,67.383,37.109,118746.258
1686016981.840,5.371,-307.129,23.926,33.203,118746.262
1686016981.844,-13.184,-26.855,103.027,12.207,118746.266
1686016981.848,-16.602,226.562,157.715,10.742,118746.270
1686016981.852,0.000,107.910,94.727,27.344,118746.274
1686016981.856,1.465,-699.219,-210.449,36.621,118746.277
1686016981.859,-22.949,-513.184,-7.812,20.020,118746.281
1686016981.863,-27.344,189.453,199.707,12.207,118746.285
1686016981.867,-9.766,-38.086,24.902,18.066,118746.289
1686016981.871,-5.371,-328.125,0.977,22.949,118746.293
1686016981.875,-17.578,44.922,128.906,15.137,118746.297
1686016981.879,-24.414,154.785,87.402,-8.301,118746.301
1686016981.883,-19.043,-353.516,-123.047,-4.395,118746.307
1686016981.887,-14.160,-585.938,-46.387,20.508,118746.311
1686016981.891,-13.672,-182.129,147.949,15.625,118746.314
1686016981.895,-17.578,111.816,140.625,-2.930,118746.318
1686016981.899,-12.695,-175.781,2.441,14.160,118746.322
1686016981.903,16.113,-465.332,13.672,43.457,118746.326
1686016981.906,18.555,-66.895,175.781,34.668,118746.330
