timestamps,TP9,AF7,AF8,TP10
1643930995.680,299.805,-331.543,-144.043,138.672
1643930995.684,605.957,-678.223,-328.125,11.230
1643930995.688,170.410,-444.824,-224.609,-16.602
1643930995.692,-248.047,-130.371,-66.406,125.000
1643930995.696,130.371,-488.770,-257.812,146.973
1643930995.700,603.516,-753.906,-347.656,23.926
1643930995.704,345.215,-330.078,-188.477,-49.805
1643930995.707,-177.246,-115.234,-114.746,79.590
1643930995.711,-38.086,-578.613,-291.016,178.711
1643930995.715,536.621,-448.242,-157.715,52.246
1643930995.719,541.504,159.180,75.195,-65.918
1643930995.723,-24.902,-125.000,-92.285,22.461
1643930995.724,-132.812,-453.125,-248.047,144.531
1643930995.728,456.543,-197.754,-94.238,48.340
1643930995.732,665.527,186.523,74.219,-106.934
1643930995.736,116.699,-208.008,-197.266,-83.008
1643930995.740,-125.488,-632.812,-325.195,70.312
1643930995.744,422.363,-369.141,-198.242,35.156
1643930995.748,691.406,-209.473,-200.684,-90.332
1643930995.751,250.000,-569.824,-359.375,-140.625
1643930995.755,-275.391,-734.375,-294.922,-17.578
1643930995.759,69.336,-86.426,39.551,14.648
1643930995.763,645.996,122.070,-14.160,-64.453
1643930995.767,396.973,-293.945,-159.180,-137.207
1643930995.785,-243.164,-365.723,-78.125,-75.684
1643930995.789,-162.598,-232.910,-81.055,20.996
1643930995.793,495.605,-281.738,-189.941,-18.066
1643930995.797,526.367,-643.555,-415.039,-104.492
1643930995.801,-125.000,-784.180,-369.629,-103.516
1643930995.805,-279.785,-337.891,-101.074,17.090
1643930995.809,394.531,-194.824,-185.547,40.039
1643930995.812,682.617,-591.309,-348.145,-38.574
1643930995.816,155.762,-595.703,-223.145,-70.801
1643930995.820,-189.941,90.332,82.520,69.336
1643930995.824,316.406,60.547,-53.223,107.422
1643930995.828,762.207,-110.352,-139.648,0.000
1643930995.816,400.391,-33.203,-38.086,-49.316
1643930995.820,-112.793,89.844,61.035,105.469
1643930995.824,168.945,-61.523,-94.727,212.402
1643930995.828,720.215,-163.086,-186.035,152.344
1643930995.832,579.102,-11.230,-41.016,108.398
1643930995.836,-9.277,-326.172,-218.262,263.184
1643930995.840,-34.668,-596.191,-304.199,415.039
1643930995.843,552.734,-369.629,-187.012,350.586
1643930995.847,641.602,12.695,-36.621,245.117
1643930995.851,72.266,64.941,0.977,290.039
1643930995.855,-175.781,-490.234,-333.496,474.121
1643930995.859,343.262,-937.500,-471.680,446.289
1643930995.860,661.621,-239.258,-60.547,281.250
1643930995.864,202.148,-147.949,-160.156,267.090
1643930995.868,-226.074,-636.230,-310.059,413.086
1643930995.872,259.277,-278.809,-71.777,437.012
1643930995.876,803.711,135.742,-25.879,351.074
1643930995.880,499.512,-187.988,-199.219,291.016
1643930995.884,-68.848,-807.617,-432.129,424.805
1643930995.887,132.812,-731.934,-370.605,471.680
1643930995.891,740.723,-134.766,-114.258,325.684
1643930995.895,660.645,-279.297,-265.137,224.121
1643930995.899,82.520,-506.836,-230.957,280.762
1643930995.903,39.062,-148.926,-25.879,355.957
1643930995.905,646.484,236.816,55.664,232.910
1643930995.909,786.133,-41.504,-139.648,91.309
1643930995.913,213.379,-281.250,-207.031,83.008
1643930995.917,-75.195,-17.578,13.184,213.379
1643930995.921,464.355,219.238,91.309,191.895
1643930995.925,791.992,-318.848,-260.742,86.914
1643930995.929,301.270,-805.664,-420.898,35.645
1643930995.932,-170.898,-240.723,-18.555,129.395
1643930995.936,205.566,184.570,82.520,140.625
1643930995.940,709.473,-247.070,-184.082,26.367
1643930995.944,445.312,-618.652,-348.633,-65.918
1643930995.948,-123.535,-285.156,-177.246,34.180
1643930995.951,30.762,54.199,16.113,134.766
1643930995.955,623.535,-441.895,-260.254,63.477
1643930995.959,574.707,-787.109,-379.395,-38.086
1643930995.963,-5.371,-148.438,-7.812,-15.137
1643930995.967,-151.855,58.594,24.902,109.863
1643930995.971,384.766,-468.262,-239.258,78.613
1643930995.975,581.055,-567.383,-233.887,-54.688
1643930995.978,71.777,-40.527,-20.020,-74.707
1643930995.982,-272.461,-104.004,-93.750,87.891
1643930995.986,175.781,-367.676,-178.711,62.012
1643930995.990,534.668,-160.645,-60.547,-99.609
1643930995.994,123.535,81.543,43.945,-156.738
1643930996.024,-365.234,-212.891,-97.168,-15.137
1643930996.028,-51.758,-509.766,-303.223,40.527
1643930996.032,480.957,-239.746,-156.250,-74.707
1643930996.036,317.383,49.316,23.438,-184.082
1643930996.040,-278.809,-320.312,-218.750,-72.754
1643930996.044,-274.414,-878.906,-461.914,45.410
1643930996.048,326.660,-487.793,-165.527,-70.312
1643930996.051,402.832,105.469,75.684,-181.641
1643930996.055,-207.520,-434.570,-233.887,-95.703
1643930996.059,-437.500,-731.934,-334.961,52.734
1643930996.063,162.598,-52.246,26.367,-5.371
1643930996.067,476.074,49.805,-50.781,-104.980
1643930996.054,-20.508,-307.617,-204.102,-94.238
1643930996.058,-427.734,-571.777,-285.156,62.012
1643930996.062,35.156,-277.344,-148.926,82.031
1643930996.066,510.742,60.547,-13.672,-21.973
1643930996.070,166.504,-537.109,-395.996,-40.527
1643930996.074,-359.375,-942.871,-484.863,97.656
1643930996.078,-89.355,-438.477,-154.297,127.930
1643930996.081,501.953,-134.277,-114.746,8.789
1643930996.085,384.277,-372.070,-215.332,-100.098
1643930996.089,-213.867,-292.480,-79.590,-42.969
1643930996.093,-239.258,85.449,62.500,49.316
1643930996.097,363.281,18.066,-73.730,-36.133
1643930996.099,469.727,-611.816,-336.914,-142.090
1643930996.103,-77.637,-520.508,-184.082,-115.723
1643930996.107,-282.227,34.668,57.129,49.316
1643930996.111,266.113,-92.773,-69.336,29.785
1643930996.115,565.430,-244.629,-215.820,-114.258
1643930996.119,83.984,-381.836,-238.281,-139.160
1643930996.123,-362.793,-452.637,-214.844,15.137
1643930996.126,21.973,-596.191,-344.238,53.711
1643930996.130,477.051,-783.203,-420.410,-49.316
1643930996.134,200.684,-258.789,-87.891,-123.047
1643930996.138,-342.773,31.738,4.883,-6.348
1643930996.142,-194.824,-536.133,-305.176,74.219
1643930996.145,399.902,-613.281,-300.293,-41.504
1643930996.149,378.906,-193.848,-93.750,-158.203
1643930996.153,-206.543,-382.812,-238.281,-100.098
1643930996.157,-296.387,-650.391,-324.219,9.277
1643930996.161,338.867,-478.516,-207.520,-65.918
1643930996.165,571.777,-200.195,-169.434,-177.246
1643930996.169,50.293,-329.590,-250.000,-148.438
1643930996.172,-288.086,-658.691,-347.656,4.883
1643930996.176,217.773,-540.039,-259.277,-12.695
1643930996.180,616.699,-93.750,-112.305,-107.422
1643930996.184,172.852,-214.844,-140.137,-115.234
1643930996.188,-354.492,-449.707,-187.500,16.602
1643930996.190,-42.480,-111.816,-33.691,30.273
1643930996.194,475.586,247.559,64.941,-78.125
1643930996.198,210.449,-153.809,-175.293,-159.180
1643930996.202,-410.645,-325.195,-203.613,-101.562
1643930996.206,-317.383,41.992,24.414,-41.016
1643930996.210,310.059,-20.508,-74.707,-112.305
1643930996.214,346.680,-588.379,-395.508,-203.613
1643930996.217,-245.605,-805.664,-416.016,-192.383
1643930996.221,-392.578,-166.504,-21.484,-64.453
1643930996.225,215.332,194.824,62.012,-94.727
1643930996.229,461.426,-74.707,-93.262,-212.402
1643930996.233,-51.758,-365.723,-228.516,-225.586
1643930996.235,-412.109,-250.488,-118.164,-98.145
1643930996.239,86.426,-46.387,-24.902,-88.867
1643930996.243,507.812,-586.426,-384.766,-195.801
1643930996.247,117.188,-798.828,-373.535,-265.137
1643930996.251,-373.047,-194.336,-35.156,-162.109
1643930996.255,-48.340,-125.488,-132.812,-92.285
1643930996.259,527.344,-643.555,-366.699,-156.250
1643930996.262,382.812,-585.449,-221.191,-247.070
1643930996.266,-190.918,16.113,40.039,-173.828
