timestamps,TP9,AF7,AF8,TP10
1643931107.656,228.516,261.230,74.219,-7.324
1643931107.660,78.613,-388.184,-302.246,-318.359
1643931107.664,74.707,-551.270,-261.719,81.055
1643931107.668,279.785,305.664,186.523,541.992
1643931107.672,311.035,280.762,37.109,186.523
1643931107.676,166.504,-635.742,-391.113,-245.605
1643931107.680,105.469,-688.477,-322.266,-41.992
1643931107.683,203.613,156.250,99.609,439.941
1643931107.687,327.148,379.395,104.980,339.844
1643931107.691,305.176,-346.191,-212.891,-81.543
1643931107.695,172.363,-773.926,-334.473,-61.035
1643931107.699,136.719,-88.867,34.668,364.258
1643931107.715,266.602,349.121,95.703,458.984
1643931107.719,352.051,-358.887,-266.602,80.566
1643931107.723,263.184,-504.883,-183.594,-83.008
1643931107.727,154.785,43.945,36.621,229.980
1643931107.731,194.824,65.918,26.855,475.586
1643931107.735,305.664,-580.078,-317.383,160.645
1643931107.739,274.414,-727.051,-307.617,-123.535
1643931107.742,169.434,163.086,122.070,94.238
1643931107.746,210.938,225.586,28.320,493.652
1643931107.750,367.188,-40.039,-63.965,323.242
1643931107.754,389.160,83.008,16.113,-44.434
1643931107.758,234.375,237.793,86.914,27.344
1643931107.760,176.270,98.145,-6.348,441.895
1643931107.764,288.086,-29.785,-82.520,390.625
1643931107.768,343.262,143.555,28.809,-25.391
1643931107.772,224.121,164.551,49.805,-81.543
1643931107.776,132.324,14.160,-8.789,320.312
1643931107.780,207.520,-239.746,-161.621,480.469
1643931107.784,303.223,-341.797,-246.582,105.957
1643931107.787,251.953,-299.316,-218.750,-83.008
1643931107.791,133.789,-596.191,-323.730,243.164
1643931107.795,162.109,-832.031,-358.398,528.320
1643931107.799,305.176,-375.000,-132.324,198.242
1643931107.803,290.039,-215.332,-190.918,-106.445
1643931107.810,107.910,-513.184,-230.469,72.266
1643931107.814,104.492,-192.871,36.621,426.758
1643931107.818,311.523,377.441,140.625,280.273
1643931107.822,369.141,160.156,-35.645,-85.449
1643931107.826,189.453,-313.965,-196.289,-76.172
1643931107.830,99.609,-321.777,-80.566,302.246
1643931107.834,253.906,97.168,100.098,320.801
1643931107.837,377.441,104.492,-20.508,-71.289
1643931107.841,229.004,-624.023,-338.379,-179.688
1643931107.845,100.586,-425.781,-89.355,157.227
1643931107.849,230.469,458.984,224.121,337.402
1643931107.853,387.207,124.512,-72.266,10.742
1643931107.850,328.613,-469.727,-255.371,-194.336
1643931107.854,184.570,13.672,56.641,79.590
1643931107.858,209.961,459.473,156.250,405.273
1643931107.862,374.023,131.836,-22.949,169.922
1643931107.866,368.652,-140.137,-134.766,-159.668
1643931107.870,180.176,-207.031,-150.391,-21.973
1643931107.874,165.527,-71.289,-3.418,374.023
1643931107.877,318.848,-372.070,-189.453,267.578
1643931107.881,360.840,-700.684,-302.734,-137.207
1643931107.885,242.188,-9.766,57.617,-162.598
1643931107.889,165.527,164.551,81.543,255.371
1643931107.893,253.418,-535.156,-257.324,333.984
1643931107.895,373.535,-675.781,-293.945,-50.293
1643931107.899,314.941,98.633,83.008,-184.570
1643931107.903,181.641,259.277,73.730,169.434
1643931107.907,232.422,67.383,-7.812,410.645
1643931107.911,375.977,83.496,7.812,84.473
1643931107.915,342.285,-70.801,-100.586,-158.203
1643931107.919,162.109,-212.891,-179.688,88.379
1643931107.922,132.324,-479.004,-153.320,420.898
1643931107.926,303.223,-304.688,-11.719,190.918
1643931107.930,360.840,238.770,70.801,-150.879
1643931107.934,181.152,-4.395,-47.852,-36.621
1643931107.938,117.676,-39.062,-27.832,360.352
1643931107.941,284.180,268.555,87.402,287.109
1643931107.945,362.305,209.473,34.668,-101.074
1643931107.949,199.707,-404.297,-289.062,-104.492
1643931107.953,91.309,-481.934,-206.055,286.133
1643931107.957,211.914,163.574,95.703,377.930
1643931107.961,334.473,-33.691,-141.602,14.648
1643931107.965,242.676,-692.871,-397.949,-141.602
1643931107.968,86.426,-656.250,-234.863,151.855
1643931107.972,138.184,216.797,167.480,378.418
1643931107.976,335.449,376.953,87.402,91.309
1643931107.980,337.402,-246.582,-194.336,-146.973
1643931107.984,134.277,-313.965,-124.512,49.316
1643931107.985,111.328,361.328,180.664,375.977
1643931107.989,302.734,361.328,61.523,208.008
1643931107.993,345.703,-266.113,-175.293,-114.746
1643931107.997,166.504,-247.070,-45.898,-61.035
1643931108.001,67.871,118.164,55.664,272.949
1643931108.005,202.148,-18.555,-64.453,245.117
1643931108.009,324.219,-687.012,-413.086,-68.359
1643931108.012,205.078,-738.281,-319.824,-136.230
1643931108.016,54.199,183.594,131.836,157.715
1643931108.020,127.930,219.727,15.137,298.828
1643931108.024,333.984,-20.508,-94.727,-7.812
1643931108.028,310.547,111.328,8.789,-184.570
1643931108.030,100.098,256.348,106.934,51.758
1643931108.034,53.711,79.102,-18.555,301.758
1643931108.038,272.461,-73.242,-109.375,62.500
1643931108.042,345.703,129.395,28.809,-191.406
1643931108.046,116.211,246.582,93.750,-36.133
1643931108.050,-10.742,-280.762,-132.324,288.574
1643931108.054,169.434,-718.262,-337.402,168.945
1643931108.057,315.430,-279.785,-181.152,-149.414
1643931108.061,147.461,102.539,18.066,-138.184
1643931108.065,-30.762,-260.254,-109.863,189.941
1643931108.069,77.637,-715.820,-348.145,203.613
1643931108.073,273.926,-254.395,-149.414,-123.535
1643931108.090,214.844,81.543,-30.762,-213.379
1643931108.094,-1.953,-404.297,-175.293,92.773
1643931108.098,6.836,-366.699,-71.289,253.906
1643931108.102,248.535,258.301,83.008,-39.062
1643931108.106,262.207,66.406,-69.824,-210.938
1643931108.110,20.020,-365.234,-197.754,25.879
1643931108.114,-18.555,-150.879,-21.973,289.551
1643931108.117,226.562,299.316,124.512,65.430
1643931108.121,297.852,48.828,-85.938,-191.895
1643931108.125,66.406,-629.883,-294.434,-59.570
1643931108.129,-28.320,-315.430,-18.555,266.113
1643931108.133,188.477,388.184,164.551,174.805
1643931108.135,307.129,-40.527,-178.223,-140.625
1643931108.139,131.348,-545.898,-286.621,-131.348
1643931108.143,6.348,20.020,82.031,229.980
1643931108.147,136.230,376.953,112.793,303.711
1643931108.151,284.180,-41.504,-107.422,-47.363
1643931108.155,196.777,-479.492,-277.344,-174.805
1643931108.159,36.133,-305.664,-160.156,153.809
1643931108.162,76.660,241.211,91.797,376.465
1643931108.166,232.910,-279.297,-210.938,55.176
1643931108.170,194.336,-760.742,-353.516,-194.824
1643931108.174,23.926,-202.148,0.488,53.711
1643931108.178,27.832,-9.277,39.062,411.133
1643931108.180,185.547,-528.320,-288.086,197.754
1643931108.184,199.219,-758.301,-337.891,-145.020
1643931108.188,45.898,18.555,84.961,-41.504
1643931108.192,3.418,231.934,79.102,364.746
1643931108.196,159.180,39.062,-56.641,286.133
1643931108.200,240.723,-216.797,-218.262,-108.887
1643931108.204,107.422,-260.742,-194.824,-135.742
1643931108.207,6.836,34.180,-4.883,250.000
1643931108.211,90.332,-351.562,-122.559,354.980
1643931108.215,218.750,-327.637,-71.777,-37.109
1643931108.219,168.457,186.523,56.641,-221.191
1643931108.223,-1.953,3.418,-48.828,95.215
1643931108.225,17.578,-62.988,-61.035,344.238
1643931108.229,164.062,178.223,52.246,5.371
1643931108.233,134.277,52.246,-67.871,-274.902
1643931108.237,-25.391,-423.828,-314.941,-40.527
1643931108.241,-25.879,-374.023,-177.246,331.055
1643931108.245,141.113,-132.324,-69.824,133.301
1643931108.249,179.688,-135.742,-187.012,-234.863
1643931108.252,19.043,-524.414,-327.637,-148.438
1643931108.256,-64.941,-640.625,-225.098,252.441
1643931108.260,90.820,201.172,127.930,206.055
1643931108.264,202.637,65.430,-65.918,-174.316
1643931108.268,47.363,-684.082,-386.719,-224.609
1643931108.270,-96.680,-480.469,-172.852,137.695
1643931108.274,-1.465,361.816,170.410,275.879
1643931108.278,140.625,228.027,-11.719,-85.938
1643931108.282,84.961,-143.555,-162.109,-277.344
1643931108.286,-72.754,-0.977,-9.277,22.949
1643931108.290,-45.410,36.133,9.766,314.941
1643931108.294,143.066,-142.578,-135.254,38.086
1643931108.297,132.324,-764.648,-443.848,-240.234
1643931108.301,-40.039,-696.289,-280.762,-67.871
1643931108.305,-25.391,263.184,165.527,290.527
1643931108.309,133.301,181.641,-17.578,145.020
1643931108.313,196.289,-103.516,-134.766,-213.379
1643931108.315,45.898,124.512,42.480,-182.617
1643931108.319,-53.223,390.625,165.527,201.660
1643931108.323,60.547,127.441,-29.785,232.910
1643931108.327,172.363,-120.117,-154.297,-142.090
1643931108.331,85.938,33.691,1.953,-251.953
1643931108.335,-76.660,-37.598,18.555,96.680
1643931108.339,-51.758,-427.734,-205.078,301.270
1643931108.342,125.977,-695.801,-342.285,-20.996
1643931108.346,124.512,-312.500,-161.133,-239.258
1643931108.350,-51.270,150.391,58.105,-0.488
1643931108.354,-85.449,-326.172,-163.574,312.988
1643931108.358,116.211,-718.262,-268.555,81.055
1643931108.360,229.004,12.207,66.406,-242.188
1643931108.364,42.480,118.652,21.973,-119.141
1643931108.368,-62.500,-20.020,-28.320,231.934
1643931108.372,135.742,143.555,31.250,143.555
1643931108.376,261.230,146.973,-16.113,-179.688
1643931108.380,90.332,-239.258,-215.820,-181.641
1643931108.384,-65.430,-668.945,-292.480,175.781
1643931108.387,33.203,-392.578,-69.336,241.211
1643931108.391,212.891,179.688,77.148,-113.770
1643931108.395,140.137,-53.711,-96.191,-225.586
