timestamps,TP9,AF7,AF8,TP10
1644531924.749,40.039,438.965,-50.781,-81.055
1644531924.753,-41.016,85.449,-40.527,-31.738
1644531924.757,-94.238,117.188,-44.922,10.254
1644531924.761,-23.926,206.543,-45.898,-24.414
1644531924.765,42.969,97.168,-26.367,-61.035
1644531924.769,-22.461,-512.695,-40.039,-36.133
1644531924.773,-101.562,-754.395,-33.691,3.906
1644531924.776,-45.410,149.414,-14.648,-14.160
1644531924.780,40.039,316.406,-36.133,-63.965
1644531924.784,14.160,55.664,-44.434,-64.941
1644531924.788,-86.426,-112.305,-30.273,-13.184
1644531924.792,-83.984,68.359,-27.832,-6.348
1644531924.794,26.855,220.703,-40.527,-42.969
1644531924.798,32.715,-353.516,-42.480,-56.152
1644531924.802,-85.938,-198.730,-33.203,-39.062
1644531924.806,-125.000,344.727,-48.340,-5.859
1644531924.810,-22.461,153.320,-51.758,-32.227
1644531924.814,46.387,-238.770,-36.621,-74.219
1644531924.818,-37.109,-245.117,-32.227,-41.992
1644531924.821,-97.168,-24.902,-33.203,8.789
1644531924.825,-27.344,-191.406,-40.527,-14.648
1644531924.829,51.270,-793.457,-41.504,-65.918
1644531924.833,-7.324,-310.547,-27.344,-72.266
1644531924.837,-93.262,364.746,-41.016,-24.414
1644531924.840,-63.477,164.551,-52.246,-13.184
1644531924.844,18.555,169.434,-45.410,-63.477
1644531924.848,13.184,374.512,-42.969,-77.148
1644531924.852,-93.750,285.645,-47.363,-31.738
1644531924.856,-103.027,69.824,-47.363,-11.719
1644531924.860,-4.395,-171.387,-62.988,-60.547
1644531924.864,13.184,-29.297,-68.359,-78.613
1644531924.867,-75.195,205.078,-47.363,-29.297
1644531924.871,-112.793,-480.957,-49.316,1.953
1644531924.875,-11.719,-533.203,-53.223,-38.574
1644531924.879,62.500,68.848,-60.547,-68.359
1644531924.883,-35.156,2.441,-60.059,-41.016
1644531924.885,-117.676,-588.379,-51.758,-1.465
1644531924.889,-56.641,-472.656,-41.016,-26.855
1644531924.893,34.668,484.375,-35.645,-80.566
1644531924.897,4.395,266.113,-43.945,-62.988
1644531924.901,-84.961,19.531,-36.133,-0.977
1644531924.905,-52.734,23.926,-28.809,18.066
1644531924.909,48.340,100.098,-27.832,-25.391
1644531924.912,31.250,38.574,-46.875,-46.875
1644531924.916,-63.965,-523.926,-38.574,1.465
1644531924.920,-70.801,43.945,-3.906,16.602
1644531924.924,27.832,558.105,-28.320,-34.180
1644531924.928,80.078,145.020,-39.551,-54.199
1644531924.960,-1.465,105.957,-9.277,-4.395
1644531924.964,-77.637,508.301,-16.113,21.973
1644531924.968,-9.766,489.258,-40.527,-22.949
1644531924.972,67.871,115.723,-27.832,-62.500
1644531924.976,-5.859,26.367,-6.348,-32.715
1644531924.980,-81.055,67.383,-12.695,16.113
1644531924.984,-38.574,110.840,-31.738,-5.371
1644531924.987,45.410,-399.902,-30.273,-47.363
1644531924.991,9.766,-576.660,-4.883,-39.062
1644531924.995,-86.426,282.227,-5.859,9.277
1644531924.999,-69.336,209.961,-29.297,9.277
1644531925.003,23.438,-119.629,-28.320,-50.293
1644531924.976,28.809,166.992,-26.367,-62.988
1644531924.980,-64.941,312.500,-32.715,-17.090
1644531924.984,-85.449,62.988,-29.297,1.465
1644531924.988,5.859,-596.680,-25.879,-37.598
1644531924.992,49.805,-371.582,-19.531,-64.941
1644531924.996,-42.480,27.832,-36.133,-34.668
1644531925.000,-103.027,-455.566,-39.551,1.465
1644531925.003,-21.484,-356.934,-25.391,-24.902
1644531925.007,70.312,181.641,-17.090,-60.547
1644531925.011,16.113,353.027,-19.043,-44.434
1644531925.015,-88.867,-225.586,-47.363,-4.395
1644531925.019,-48.828,-509.277,-60.059,-9.766
1644531925.020,52.246,187.988,-31.738,-48.828
1644531925.024,17.578,398.926,-32.227,-53.223
1644531925.028,-75.684,-372.559,-41.016,-6.348
1644531925.032,-50.781,-625.000,-3.418,16.113
1644531925.036,43.945,78.125,-7.812,-46.387
1644531925.040,46.387,57.617,-37.598,-70.312
1644531925.044,-59.082,-605.957,-38.086,-9.277
1644531925.047,-97.656,-713.867,-28.320,23.438
1644531925.051,-2.930,211.426,-28.809,-21.973
1644531925.055,52.734,360.352,-47.363,-56.641
1644531925.059,-24.902,-71.289,-38.086,-22.949
1644531925.063,-95.703,40.527,-50.781,19.043
1644531925.065,-15.625,526.367,-37.598,-5.371
1644531925.069,73.242,386.719,-24.414,-46.875
1644531925.073,9.277,-178.223,-38.574,-37.109
1644531925.077,-78.125,118.164,-17.578,18.555
1644531925.081,-42.480,602.539,-34.668,11.719
1644531925.085,42.969,92.773,-68.359,-49.805
1644531925.089,15.625,-428.711,-65.430,-58.594
1644531925.092,-78.125,-134.766,-38.086,-2.930
1644531925.096,-67.383,421.875,-40.039,11.230
1644531925.100,31.738,99.609,-51.270,-41.504
1644531925.104,41.992,-404.297,-47.852,-63.965
1644531925.108,-62.012,171.875,-31.250,-22.461
1644531925.125,-96.191,424.316,-32.227,15.137
1644531925.129,-14.160,158.203,-49.805,-22.949
1644531925.133,42.480,159.668,-28.320,-62.012
1644531925.137,-29.297,369.629,-16.602,-29.785
1644531925.141,-104.980,319.824,-24.414,9.766
1644531925.145,-29.297,-113.770,-18.066,-5.859
1644531925.149,53.223,-210.449,-19.043,-59.570
1644531925.152,-9.766,109.375,-20.996,-65.430
1644531925.156,-98.145,100.586,-21.484,-3.418
1644531925.160,-63.477,-373.535,-33.203,8.789
1644531925.164,41.992,-498.535,-29.785,-35.156
1644531925.168,35.156,-160.645,-26.367,-46.875
1644531925.170,-66.406,94.238,-38.086,-4.883
1644531925.174,-89.355,-571.289,-55.176,7.812
1644531925.178,4.883,-649.414,-38.574,-48.340
1644531925.182,38.086,347.168,-34.668,-66.895
1644531925.186,-58.594,194.824,-47.363,-16.113
1644531925.190,-96.191,-191.895,-38.086,25.391
1644531925.194,-14.160,-34.668,-39.551,-16.113
1644531925.197,42.480,378.418,-53.223,-65.430
1644531925.201,-36.621,26.367,-65.430,-38.086
1644531925.205,-111.328,-562.988,-55.176,14.160
1644531925.209,-41.992,53.711,-33.691,-0.488
1644531925.213,46.875,418.457,-41.016,-62.012
1644531925.215,2.930,-109.863,-57.617,-66.895
1644531925.219,-96.191,-117.188,-52.734,-16.113
1644531925.223,-77.148,375.977,-43.945,-7.324
1644531925.227,31.738,410.156,-47.363,-52.246
1644531925.231,20.996,-23.438,-49.316,-58.594
1644531925.235,-91.797,-309.570,-47.363,-17.578
1644531925.239,-89.355,-168.457,-49.316,-0.488
1644531925.242,6.836,142.578,-52.734,-46.875
1644531925.246,52.246,-354.492,-52.246,-66.895
1644531925.250,-33.691,-573.242,-44.434,-20.020
1644531925.254,-89.355,41.992,-38.086,17.578
1644531925.258,-7.324,9.277,-39.551,-8.301
1644531925.260,63.477,-317.871,-32.715,-44.434
1644531925.264,-3.906,-118.652,-16.602,-21.973
1644531925.268,-100.098,358.887,-20.508,24.414
1644531925.272,-57.617,58.105,-34.180,10.254
1644531925.276,39.062,-213.867,-38.574,-36.133
1644531925.280,7.812,-143.555,-38.574,-51.758
1644531925.284,-98.145,131.348,-17.578,-14.160
