timestamps,TP9,AF7,AF8,TP10
1645054583.379,-755.859,-1000.000,-325.684,405.762
1645054583.383,-794.434,-408.691,213.867,598.633
1645054583.387,611.328,-246.582,197.754,-62.988
1645054583.391,945.312,-472.656,46.875,-442.383
1645054583.395,-379.883,-396.484,208.008,91.309
1645054583.399,-1000.000,-497.559,223.145,622.070
1645054583.403,213.379,-722.168,20.508,138.184
1645054583.406,-872.070,-970.215,-295.898,-421.387
1645054583.410,25.879,-629.395,19.043,-144.531
1645054583.414,-1000.000,-214.355,310.547,499.512
1645054583.418,-211.914,-398.926,87.891,270.996
1645054583.422,-875.977,-351.562,93.262,-441.406
1645054583.426,420.898,-166.504,232.422,-348.145
1645054583.430,-1000.000,-293.945,229.004,401.367
1645054583.434,-556.641,-487.305,97.168,449.707
1645054583.438,899.414,-334.961,127.930,-308.105
1645054583.442,736.328,-259.766,156.738,-516.602
1645054583.446,-675.781,-620.117,30.762,177.246
1645054583.450,-873.047,-880.371,-197.754,616.699
1645054583.453,477.051,-909.180,-346.680,-29.297
1645054583.457,-977.051,-516.113,26.367,-542.480
1645054583.461,-260.742,-363.770,194.336,45.898
1645054583.465,-1000.000,-511.230,180.176,718.750
1645054583.469,192.871,-254.395,215.820,333.008
1645054583.470,-825.195,83.008,223.633,-221.191
1645054583.474,309.082,-223.145,153.809,65.430
1645054583.478,-1000.000,-589.355,86.426,700.684
1645054583.482,-244.629,-191.406,202.637,438.477
1645054583.486,-875.488,29.297,190.918,-324.219
1645054583.490,548.340,-485.840,-103.027,-291.992
1645054583.494,-888.672,-1000.000,-358.398,462.891
1645054583.497,-649.414,-573.242,6.836,531.250
1645054583.501,816.406,59.082,271.973,-225.586
1645054583.505,809.570,-328.125,7.812,-467.773
1645054583.509,-586.914,-792.969,-84.961,143.555
1645054583.513,-930.176,-382.812,178.223,539.551
1645054583.534,399.902,-14.160,251.465,-53.711
1645054583.538,-944.336,-495.605,-70.312,-517.090
1645054583.542,-176.270,-796.387,-151.367,-74.219
1645054583.546,-1000.000,-357.910,199.707,499.023
1645054583.550,-20.508,-207.520,190.918,111.328
1645054583.554,-854.980,-577.637,-113.281,-525.879
1645054583.558,173.828,-950.195,-243.164,-327.148
1645054583.561,-1000.000,-879.395,-111.816,347.168
1645054583.565,-498.535,-555.664,92.773,189.941
1645054583.569,958.984,-775.879,-266.113,-580.078
