timestamps,TP9,AF7,AF8,TP10
1645470281.722,-10.254,-139.648,85.938,92.285
1645470281.726,-788.574,-952.148,371.582,569.336
1645470281.730,170.898,139.648,-95.703,74.219
1645470281.734,-1000.000,-1000.000,-505.859,-518.555
1645470281.738,-287.598,-867.676,-235.840,-123.535
1645470281.742,-827.637,450.195,224.609,528.320
1645470281.746,446.777,493.652,86.426,278.809
1645470281.749,-1000.000,-858.887,-500.488,-411.621
1645470281.753,-599.121,-1000.000,-515.137,-284.668
1645470281.757,928.223,4.883,99.609,433.105
1645470281.761,868.164,966.797,336.914,448.730
1645470281.765,-612.793,-385.254,-381.348,-257.324
1645470281.769,-1000.000,-1000.000,-500.977,-433.594
1645470281.773,397.949,221.680,240.234,251.953
1645470281.777,-843.750,-870.117,462.402,535.156
1645470281.781,-59.082,21.973,-202.148,-108.398
1645470281.785,-1000.000,-1000.000,-670.410,-546.387
1645470281.789,-112.305,-384.277,-62.988,-33.691
1645470281.793,-791.992,-938.477,486.328,450.195
1645470281.796,212.891,250.000,-67.383,-0.977
1645470281.800,-1000.000,-1000.000,-736.328,-604.492
1645470281.804,-354.492,-518.555,-136.719,-264.648
1645470281.808,-859.863,-995.605,553.711,413.086
1645470281.812,510.742,501.465,50.293,212.891
1645470281.807,-1000.000,-1000.000,-693.359,-501.465
1645470281.811,-715.820,-867.188,-344.238,-446.289
1645470281.815,810.547,621.582,384.277,278.320
1645470281.819,931.152,629.395,131.836,377.930
1645470281.823,-513.184,-816.895,-721.191,-296.387
1645470281.827,-1000.000,-1000.000,-611.328,-521.484
1645470281.831,223.633,49.805,174.316,131.836
1645470281.834,-819.824,717.773,218.750,493.164
1645470281.838,15.137,-624.023,-486.328,-85.938
1645470281.842,-1000.000,-1000.000,-501.953,-579.590
1645470281.846,-170.898,-167.969,73.242,-74.219
1645470281.850,-795.410,-904.785,460.938,499.512
1645470281.846,290.527,502.441,96.680,95.703
1645470281.850,-1000.000,-930.176,-448.730,-548.340
1645470281.854,-419.922,-693.359,-181.152,-274.414
1645470281.858,-903.320,749.023,393.066,415.039
1645470281.862,626.953,739.258,206.055,287.598
1645470281.866,-913.086,-671.387,-547.363,-399.414
1645470281.870,-827.148,-994.629,-472.656,-408.691
1645470281.873,673.828,-357.910,26.855,299.805
1645470281.877,-968.750,430.664,212.402,448.730
1645470281.881,-333.984,-101.074,-204.590,-236.328
1645470281.885,-1000.000,-1000.000,-667.969,-519.043
1645470281.889,80.078,-349.121,-28.809,114.746
1645470281.895,-795.410,-867.676,516.113,511.719
1645470281.899,109.863,293.945,-20.508,-28.809
1645470281.903,-1000.000,-1000.000,-624.512,-544.922
1645470281.907,-225.098,-362.793,-88.867,-102.051
1645470281.911,-804.688,-891.602,502.930,493.652
1645470281.915,358.398,363.770,77.637,172.852
