timestamps,TP9,AF7,AF8,TP10
1644531496.141,-90.332,-294.434,-130.859,-5.859
1644531496.145,-105.957,-602.051,-123.535,36.621
1644531496.149,41.504,271.973,-99.121,-34.180
1644531496.153,97.656,329.590,-123.047,-68.359
1644531496.157,-43.945,-45.410,-144.043,-9.277
1644531496.161,-130.859,-167.969,-158.203,29.785
1644531496.165,-9.766,-112.793,-147.461,-20.996
1644531496.168,98.145,4.883,-149.414,-74.219
1644531496.172,-4.395,-568.848,-173.340,-48.828
1644531496.176,-141.602,-665.527,-131.836,9.277
1644531496.180,-56.641,332.520,-91.309,-9.277
1644531496.184,94.238,325.195,-117.188,-69.336
1644531496.184,35.645,40.039,-119.629,-62.012
1644531496.188,-109.375,298.828,-112.305,14.160
1644531496.192,-83.496,443.359,-132.324,16.602
1644531496.196,67.383,121.094,-133.301,-59.082
1644531496.200,78.613,-230.469,-109.863,-67.871
1644531496.204,-75.195,-184.570,-107.910,-10.742
1644531496.208,-123.047,-28.320,-117.188,22.949
1644531496.211,29.785,-221.680,-131.836,-32.227
1644531496.215,101.074,-958.496,-176.270,-73.730
1644531496.219,-44.922,-671.875,-128.906,-33.691
1644531496.223,-135.254,340.820,-113.281,21.484
1644531496.227,-26.855,226.562,-150.391,-16.602
1644531496.230,88.379,120.605,-116.699,-73.242
1644531496.234,-1.465,375.488,-72.266,-29.297
1644531496.238,-127.930,405.762,-71.777,39.062
1644531496.242,-62.988,234.375,-87.402,16.602
1644531496.246,80.566,187.988,-73.730,-62.500
1644531496.250,58.105,-25.879,-31.738,-65.918
1644531496.254,-90.820,-41.016,-9.277,5.859
1644531496.257,-100.586,-428.223,-60.059,17.090
1644531496.261,50.781,-452.637,-53.711,-56.152
1644531496.265,78.125,344.238,-20.508,-81.543
1644531496.269,-78.613,187.012,-37.598,-12.695
1644531496.273,-131.836,-97.656,-33.203,31.250
1644531496.274,16.602,154.785,-8.789,-23.438
1644531496.278,115.234,406.738,-2.930,-63.965
1644531496.282,-15.625,97.168,-13.184,-18.066
1644531496.286,-123.535,-61.035,-5.371,43.457
1644531496.290,-29.785,78.613,-1.953,-2.441
1644531496.294,91.797,-67.383,-33.203,-70.801
1644531496.298,30.762,-314.941,-40.039,-39.062
1644531496.301,-111.816,-960.938,-37.109,30.762
1644531496.305,-70.801,-472.656,-24.902,16.113
1644531496.309,78.613,409.180,-43.945,-58.105
1644531496.313,66.895,72.266,-52.734,-58.594
1644531496.317,-77.637,51.758,-28.320,19.043
1644531496.322,-74.707,503.418,-32.715,53.223
1644531496.326,94.727,403.809,-73.730,-4.395
