timestamps,TP9,AF7,AF8,TP10
1645481484.343,122.070,162.109,-103.027,167.480
1645481484.347,-1000.000,-1000.000,-742.188,-959.473
1645481484.351,-232.422,-574.219,-171.387,-255.859
1645481484.355,-801.270,974.609,532.227,978.516
1645481484.359,338.379,451.660,91.309,558.105
1645481484.363,-1000.000,-1000.000,-753.906,-756.836
1645481484.367,-475.098,-931.641,-545.410,-569.824
1645481484.370,-943.359,525.879,341.797,732.910
1645481484.374,734.863,864.258,314.941,812.500
1645481484.378,-807.129,-597.656,-554.688,-462.891
1645481484.382,-936.523,-1000.000,-620.117,-812.988
1645481484.386,545.410,247.559,266.602,428.711
1645481484.389,-173.340,-194.336,-313.965,-67.871
1645481484.393,-1000.000,-1000.000,-657.227,-917.969
1645481484.397,-36.133,-115.234,81.055,48.340
1645481484.401,-783.691,-883.301,463.867,-933.105
1645481484.405,178.711,29.297,-295.898,315.918
1645481484.409,-1000.000,-1000.000,-930.176,-860.352
1645481484.412,-274.414,-470.703,-180.176,-320.312
1645481484.416,-814.941,-955.078,516.113,933.594
1645481484.420,416.504,266.113,35.645,643.555
1645481484.424,-1000.000,-1000.000,-668.457,-710.938
1645481484.428,-546.387,-751.953,-301.758,-689.941
1645481484.447,984.863,640.137,381.836,648.926
1645481484.451,865.723,809.082,230.469,867.676
1645481484.455,-627.930,-556.641,-455.566,-409.180
1645481484.459,-1000.000,-1000.000,-533.691,-919.922
1645481484.463,399.414,169.922,189.941,304.199
1645481484.467,-823.730,956.055,319.824,-971.680
1645481484.471,-35.645,-305.664,-379.395,-27.344
1645481484.474,-1000.000,-1000.000,-690.430,-1000.000
1645481484.478,-133.301,-281.250,-16.113,-100.098
1645481484.482,-787.598,814.941,338.379,-958.984
1645481484.486,228.027,29.785,-122.559,369.629
1645481484.490,-1000.000,-1000.000,-641.602,-899.902
1645481484.493,-329.102,-759.277,-287.109,-452.148
1645481484.497,-845.703,720.215,389.648,854.980
1645481484.501,525.879,647.949,198.242,706.055
1645481484.505,-1000.000,-827.148,-582.520,-621.582
1645481484.509,-656.738,-1000.000,-522.949,-715.332
1645481484.513,877.441,310.547,268.555,585.938
1645481484.517,979.980,804.199,252.930,938.965
1645481484.520,-436.523,-552.734,-496.094,-223.145
1645481484.524,-1000.000,-1000.000,-766.602,-814.453
1645481484.528,211.914,-651.367,-262.207,305.664
1645481484.532,-790.527,735.352,349.121,-923.340
1645481484.536,67.871,165.527,-149.902,155.273
1645481484.536,-1000.000,-1000.000,-723.633,-864.746
1645481484.540,-187.988,-327.637,-47.852,-97.656
1645481484.544,-791.992,-866.699,536.133,-964.844
1645481484.548,293.457,314.453,17.578,507.324
1645481484.552,-1000.000,-1000.000,-740.234,-758.789
1645481484.556,-393.066,-783.691,-357.910,-437.500
1645481484.560,-884.277,702.637,450.684,837.402
1645481484.563,635.254,588.867,125.000,793.457
1645481484.567,-928.711,-928.223,-753.418,-466.797
1645481484.571,-806.641,-1000.000,-489.258,-737.305
1645481484.575,719.238,435.059,342.285,497.559
1645481484.579,-944.824,796.875,229.492,977.051
1645481484.580,-311.523,-635.742,-544.434,-159.180
1645481484.584,-1000.000,-1000.000,-566.406,-921.875
1645481484.588,81.543,25.879,158.691,122.070
1645481484.592,-783.203,958.008,361.328,-942.383
1645481484.596,134.766,-150.391,-286.133,207.520
1645481484.600,-1000.000,-1000.000,-735.840,-909.180
1645481484.604,-236.328,-575.684,-200.195,-258.301
1645481484.607,-802.246,903.809,407.715,949.219
1645481484.611,362.793,434.570,25.391,527.832
1645481484.615,-1000.000,-1000.000,-653.320,-784.180
1645481484.619,-465.332,-764.648,-303.223,-643.066
1645481484.623,-943.359,659.180,414.062,675.781
1645481484.627,769.531,807.617,254.883,780.762
1645481484.631,-763.184,-587.891,-496.582,-508.789
1645481484.635,-937.988,-1000.000,-565.918,-874.023
1645481484.639,546.387,-258.789,27.832,365.234
1645481484.643,-864.746,360.352,214.844,972.656
1645481484.647,-141.113,-395.996,-320.801,-119.141
1645481484.651,-1000.000,-1000.000,-751.465,-946.289
1645481484.654,-41.504,-550.293,-115.723,-12.207
1645481484.658,-781.250,982.910,484.863,988.281
1645481484.662,195.312,316.406,-21.484,271.973
1645481484.666,-1000.000,-1000.000,-762.695,-857.422
1645481484.670,-277.344,-479.980,-260.742,-312.988
1645481484.703,-818.848,-975.586,542.969,908.203
1645481484.707,459.961,578.125,152.344,671.387
1645481484.711,-1000.000,-921.387,-634.277,-603.027
1645481484.715,-547.852,-814.941,-327.637,-509.766
1645481484.719,992.676,681.641,398.438,753.906
1645481484.723,892.578,737.793,204.102,898.926
1645481484.727,-584.961,-663.574,-635.254,-218.262
1645481484.730,-1000.000,-1000.000,-775.879,-691.895
1645481484.734,386.719,68.848,161.621,390.625
1645481484.738,-813.477,-925.781,465.332,-954.102
1645481484.742,-12.207,-132.812,-365.723,105.957
1645481484.746,-1000.000,-1000.000,-735.840,-812.500
1645481484.716,-126.953,-186.035,81.543,5.371
1645481484.720,-784.668,-856.445,483.398,-941.406
1645481484.724,239.258,116.699,-105.469,445.801
1645481484.728,-1000.000,-1000.000,-640.137,-763.672
1645481484.732,-333.008,-548.340,-157.227,-379.395
1645481484.736,-849.609,909.668,439.941,859.375
1645481484.740,550.781,396.484,91.797,726.074
1645481484.743,-1000.000,-995.117,-657.715,-549.805
1645481484.747,-692.871,-870.605,-468.262,-673.828
1645481484.751,842.773,482.910,285.156,568.848
1645481484.755,994.629,981.445,282.227,923.340
1645481484.759,-427.734,-349.121,-379.395,-209.473
1645481484.771,-1000.000,-1000.000,-549.316,-801.758
1645481484.775,232.910,58.105,93.262,267.578
1645481484.779,-788.086,470.703,99.121,-933.594
1645481484.783,77.637,-729.980,-445.801,175.781
1645481484.787,-1000.000,-1000.000,-627.930,-840.332
1645481484.791,-194.336,-625.000,-132.812,-107.422
1645481484.795,-793.457,862.305,394.531,-989.258
1645481484.798,307.617,258.789,-37.109,520.508
1645481484.802,-1000.000,-1000.000,-640.137,-704.102
1645481484.806,-404.297,-1000.000,-499.023,-422.852
1645481484.810,-896.973,-108.398,100.586,812.988
1645481484.814,677.734,717.285,210.449,785.645
1645481484.822,-884.277,-590.332,-487.793,-444.824
1645481484.826,-824.707,-1000.000,-510.742,-717.285
1645481484.830,695.801,368.164,288.574,479.980
1645481484.834,-919.922,-960.938,432.129,955.078
1645481484.838,-262.695,-199.219,-325.684,-115.723
1645481484.842,-1000.000,-1000.000,-698.242,-819.824
1645481484.846,67.383,-144.531,21.973,144.531
1645481484.849,-781.250,-833.984,521.973,-960.449
1645481484.853,146.484,164.062,-183.105,255.859
1645481484.857,-1000.000,-1000.000,-821.289,-808.594
1645481484.861,-240.723,-423.340,-85.449,-235.840
1645481484.865,-803.223,-911.133,554.688,916.504
1645481484.866,376.465,318.359,-23.438,575.195
1645481484.870,-1000.000,-1000.000,-772.949,-646.973
1645481484.874,-472.656,-726.074,-268.066,-532.227
1645481484.878,-955.566,804.688,450.195,694.824
1645481484.882,805.176,466.797,145.020,843.750
1645481484.886,-719.238,-954.102,-613.770,-334.961
1645481484.890,-945.801,-1000.000,-613.770,-712.402
1645481484.893,537.598,175.293,193.359,421.875
1645481484.897,-853.516,627.441,172.852,-985.840
1645481484.901,-114.258,-799.805,-655.762,27.344
1645481484.905,-1000.000,-1000.000,-591.797,-823.730
1645481484.909,-51.270,-102.539,95.215,44.922
1645481484.911,-781.250,-851.074,463.867,-958.008
1645481484.915,197.754,251.953,-27.344,362.305
1645481484.919,-1000.000,-1000.000,-636.719,-768.555
1645481484.923,-291.992,-645.508,-205.566,-284.180
1645481484.927,-824.219,848.633,426.270,904.785
1645481484.931,459.961,391.602,68.848,682.617
1645481484.935,-1000.000,-1000.000,-627.441,-574.707
1645481484.938,-596.191,-1000.000,-468.750,-609.375
1645481484.942,941.895,195.312,233.887,636.719
1645481484.946,903.809,899.902,305.176,875.488
1645481484.950,-570.312,-368.652,-353.027,-316.895
1645481484.954,-1000.000,-1000.000,-660.645,-829.102
1645481484.956,330.566,-176.758,-48.828,286.621
1645481484.960,-808.594,-889.648,479.492,991.699
1645481484.964,5.371,1.465,-196.777,20.020
1645481484.968,-1000.000,-1000.000,-682.129,-904.297
1645481484.972,-152.344,-261.719,-60.059,-75.684
1645481484.976,-790.039,-875.488,389.160,-974.609
1645481484.980,233.398,141.113,-101.074,406.738
1645481484.983,-1000.000,-1000.000,-818.359,-794.434
1645481484.987,-363.281,-1000.000,-650.391,-422.852
1645481484.991,-864.258,270.508,279.785,778.809
1645481484.995,554.199,710.938,207.520,638.672
1645481484.999,-1000.000,-854.492,-628.418,-622.559
1645481485.001,-736.816,-951.660,-426.270,-782.227
1645481485.005,791.016,506.836,343.262,439.941
1645481485.009,-980.469,870.117,284.668,818.359
1645481485.013,-392.090,-502.441,-456.055,-336.914
1645481485.017,-1000.000,-1000.000,-582.520,-954.102
1645481485.021,201.660,-66.406,103.027,114.746
1645481485.025,-789.062,-981.445,381.348,956.055
1645481485.028,74.219,-209.961,-321.289,97.168
1645481485.032,-1000.000,-1000.000,-747.559,-904.297
1645481485.036,-213.379,-276.855,-44.922,-228.516
1645481485.040,-799.316,-994.629,427.734,894.043
1645481485.044,296.387,-54.199,-130.371,428.223
1645481485.046,-1000.000,-1000.000,-643.555,-801.758
1645481485.050,-439.941,-614.258,-200.195,-598.145
1645481485.054,-911.133,777.344,335.938,657.715
1645481485.058,654.297,754.883,126.953,671.387
1645481485.062,-890.625,-655.762,-503.906,-527.832
1645481485.066,-902.832,-1000.000,-553.223,-771.484
1645481485.070,594.727,-25.879,49.805,370.117
1645481485.073,-920.898,474.609,201.172,869.141
1645481485.077,-310.059,-458.496,-283.203,-244.141
1645481485.081,-1000.000,-1000.000,-552.246,-864.746
1645481485.085,101.562,-289.062,61.035,125.977
1645481485.089,-800.293,-953.613,424.805,878.906
1645481485.092,145.996,226.562,-70.312,125.977
1645481485.096,-1000.000,-1000.000,-659.180,-882.324
1645481485.100,-265.625,-652.832,-231.934,-316.895
1645481485.104,-812.988,895.996,461.426,802.734
1645481485.108,370.117,475.098,98.145,467.285
1645481485.112,-1000.000,-1000.000,-746.582,-712.402
1645481485.116,-541.504,-946.289,-521.973,-621.094
1645481485.119,-997.559,485.840,320.801,553.711
1645481485.123,787.109,897.949,309.570,692.871
1645481485.127,-737.793,-534.668,-533.203,-479.004
1645481485.131,-1000.000,-1000.000,-641.113,-877.441
1645481485.135,444.824,192.383,231.934,235.840
1645481485.140,-849.609,-939.453,425.781,863.770
1645481485.144,-110.352,-169.922,-351.074,-106.934
1645481485.148,-1000.000,-1000.000,-700.195,-930.176
1645481485.152,-70.312,-138.184,73.242,-82.031
1645481485.156,-844.727,-914.551,485.352,853.027
1645481485.160,110.352,3.906,-270.996,204.102
1645481485.164,-1000.000,-1000.000,-894.531,-847.168
1645481485.167,-308.594,-619.141,-243.164,-422.852
1645481485.171,-833.008,912.598,524.902,794.922
1645481485.175,450.684,299.805,-40.527,604.004
1645481485.179,-1000.000,-1000.000,-832.520,-649.414
1645481485.183,-625.488,-808.594,-345.215,-721.680
1645481485.196,911.621,555.176,323.730,520.508
1645481485.200,915.039,823.242,242.676,802.734
1645481485.204,-563.965,-509.766,-416.504,-391.113
1645481485.208,-1000.000,-1000.000,-573.242,-908.203
1645481485.212,324.707,39.551,117.676,208.008
1645481485.216,-811.523,670.410,255.859,961.426
1645481485.220,-0.488,-540.527,-349.609,-4.883
1645481485.223,-1000.000,-1000.000,-603.516,-950.195
1645481485.227,-166.992,-403.320,-75.195,-161.133
1645481485.231,-792.969,953.125,422.852,904.785
