timestamps,TP9,AF7,AF8,TP10
1645055712.433,4.883,78.125,-138.184,24.414
1645055712.437,-5.371,-81.543,-150.391,-12.207
1645055712.441,-144.531,34.668,-138.184,-204.102
1645055712.445,-151.855,94.727,-142.090,-201.172
1645055712.449,-7.324,-206.055,-160.645,-9.277
1645055712.453,18.555,-250.488,-148.438,6.836
1645055712.457,-104.980,-124.512,-141.602,-154.785
1645055712.460,-156.738,-140.625,-147.461,-195.312
1645055712.464,-40.527,-586.914,-154.785,-27.344
1645055712.468,53.711,-147.949,-100.098,66.895
1645055712.472,-40.039,66.406,-99.121,-88.867
1645055712.476,-149.902,-435.547,-132.812,-201.172
1645055712.480,66.406,249.512,-43.457,90.820
1645055712.484,15.625,588.379,-67.871,3.906
1645055712.488,-117.188,-143.066,-131.836,-152.832
1645055712.492,-103.516,-305.176,-108.398,-98.145
1645055712.496,42.969,73.730,-83.008,89.844
1645055712.500,48.828,269.531,-89.355,64.941
1645055712.503,-90.332,-177.734,-142.578,-111.328
1645055712.507,-106.445,-825.195,-162.598,-106.445
1645055712.511,25.879,152.832,-57.129,55.176
1645055712.515,74.707,723.633,-58.594,84.473
1645055712.519,-53.223,-32.227,-139.648,-85.449
1645055712.522,-135.742,-152.832,-128.418,-162.109
1645055712.526,-32.227,380.371,-78.125,-15.625
1645055712.530,71.777,553.223,-85.938,111.328
1645055712.534,-18.066,11.230,-127.930,-16.113
1645055712.538,-134.766,-161.133,-111.328,-153.320
1645055712.542,-70.312,-89.844,-89.844,-59.570
1645055712.546,69.824,-12.207,-95.215,108.398
1645055712.549,23.438,-566.895,-139.648,42.480
1645055712.553,-119.141,-547.852,-107.910,-141.602
1645055712.557,-102.539,62.988,-70.801,-119.629
1645055712.561,47.363,48.340,-90.332,81.543
1645055712.565,65.430,-577.637,-130.859,83.008
1645055712.568,-70.312,-431.641,-102.051,-116.211
1645055712.572,-102.539,169.434,-61.035,-137.695
1645055712.576,28.809,260.254,-63.477,50.293
1645055712.580,101.074,386.719,-60.059,109.375
1645055712.584,-16.113,237.793,-77.637,-65.918
1645055712.588,-110.840,-143.555,-94.727,-159.180
1645055712.592,-14.648,-350.586,-86.426,-14.160
1645055712.595,98.633,-401.855,-65.918,117.676
1645055712.599,23.926,52.246,-48.340,-16.113
1645055712.603,-100.586,-133.301,-83.008,-161.621
1645055712.607,-53.711,-390.137,-80.078,-79.590
1645055712.611,89.355,143.555,-23.438,97.656
1645055712.615,53.223,511.719,-38.574,26.855
1645055712.619,-91.309,84.961,-93.750,-152.344
1645055712.623,-98.145,-278.320,-94.727,-120.117
1645055712.627,41.504,252.930,-56.152,62.988
1645055712.631,83.496,588.867,-57.617,77.637
1645055712.635,-52.246,-108.398,-113.770,-101.074
1645055712.639,-105.957,-864.258,-144.043,-130.859
1645055712.642,30.273,-189.453,-48.340,41.504
1645055712.646,99.609,661.133,-3.418,102.051
1645055712.650,-25.879,166.992,-76.660,-67.871
1645055712.654,-137.207,-517.090,-92.285,-171.875
1645055712.658,-64.453,-151.855,-39.062,-58.105
1645055712.657,79.102,432.617,-6.348,94.238
1645055712.661,13.184,186.523,-45.410,-10.254
1645055712.665,-132.324,-365.234,-61.523,-158.691
1645055712.669,-98.633,-15.625,-18.066,-91.309
1645055712.673,47.363,501.953,-2.441,87.891
1645055712.677,48.828,50.781,-58.105,63.965
1645055712.681,-96.191,-909.668,-116.699,-109.375
1645055712.684,-114.258,-427.246,-24.902,-117.188
1645055712.688,55.664,446.289,27.344,86.426
1645055712.692,100.586,317.383,-40.527,123.535
1645055712.696,-50.293,84.473,-68.848,-78.613
1645055712.700,-107.910,142.090,-53.711,-131.836
1645055712.719,28.320,381.836,-41.016,59.082
1645055712.723,118.652,252.930,-67.871,174.316
1645055712.727,5.859,-127.930,-88.379,5.371
1645055712.731,-105.957,-43.945,-59.082,-136.230
1645055712.735,-38.574,261.719,-46.875,-37.598
1645055712.739,88.379,-272.461,-91.309,127.441
1645055712.743,36.133,-616.211,-90.820,37.109
1645055712.746,-96.680,-70.801,-53.223,-137.207
1645055712.750,-75.684,37.109,-68.359,-82.031
1645055712.754,61.523,-286.621,-95.215,117.676
1645055712.758,57.617,-174.805,-90.332,83.008
1645055712.762,-83.008,97.168,-80.566,-119.629
1645055712.764,-111.328,-91.309,-86.914,-130.371
1645055712.768,14.648,-428.223,-89.355,47.363
1645055712.772,72.754,249.023,-53.711,83.008
1645055712.776,-48.828,353.516,-81.055,-91.309
1645055712.780,-135.742,-234.375,-120.117,-154.297
1645055712.784,-21.973,-301.758,-93.750,7.324
1645055712.788,78.613,21.484,-74.707,122.559
1645055712.791,-16.602,221.680,-95.703,-18.555
1645055712.795,-122.559,-318.848,-151.855,-146.973
1645055712.799,-57.617,-789.062,-147.461,-41.504
1645055712.803,77.637,266.602,-66.406,112.793
1645055712.807,41.504,551.758,-102.539,28.320
1645055712.808,-97.168,-210.449,-156.738,-145.020
1645055712.812,-92.773,-107.910,-109.375,-109.375
1645055712.816,42.480,498.535,-67.383,80.078
1645055712.820,56.641,459.961,-98.145,74.707
1645055712.824,-81.543,-239.258,-129.395,-105.469
1645055712.828,-131.348,-505.859,-108.887,-136.719
1645055712.832,-7.324,-68.848,-59.570,28.320
1645055712.835,67.871,95.215,-62.012,97.168
1645055712.839,-49.805,-728.027,-134.277,-60.547
1645055712.843,-149.902,-922.363,-102.051,-171.387
1645055712.847,-62.012,-183.105,-17.090,-43.945
1645055712.851,74.219,130.371,-34.180,102.051
1645055712.853,1.953,-558.594,-107.910,-16.113
1645055712.857,-135.742,-318.359,-79.102,-167.480
1645055712.861,-78.613,296.875,-51.758,-86.426
1645055712.865,56.152,377.441,-73.730,95.215
1645055712.869,17.578,228.516,-109.863,31.738
1645055712.873,-128.418,-245.605,-155.273,-158.203
