timestamps,TP9,AF7,AF8,TP10
1644531099.358,195.312,-283.203,-33.691,-134.766
1644531099.362,-39.551,187.012,40.039,-60.547
1644531099.366,-247.070,-16.602,1.465,75.195
1644531099.370,-78.613,-123.047,-22.949,-2.441
1644531099.374,164.062,83.008,0.488,-132.812
1644531099.378,45.410,-146.973,-31.738,-81.543
1644531099.382,-224.121,-515.137,-30.762,71.777
1644531099.385,-180.176,-312.012,27.832,55.664
1644531099.389,121.582,-1.465,34.668,-69.336
1644531099.393,141.602,-137.695,-3.418,-70.801
1644531099.397,-159.668,-363.281,-20.020,46.387
1644531099.401,-205.078,-924.316,-77.148,98.633
1644531099.404,81.543,-568.848,36.621,-30.762
1644531099.408,192.383,222.656,104.492,-110.840
1644531099.412,-75.684,-122.559,11.230,1.953
1644531099.416,-234.375,-98.633,35.156,89.355
1644531099.420,18.066,255.371,39.551,-13.184
1644531099.424,232.422,28.320,-17.578,-97.656
1644531099.428,18.066,-567.871,-59.570,-33.203
1644531099.431,-218.262,-560.547,19.531,72.754
1644531099.435,-60.059,115.234,78.125,26.855
1644531099.439,207.520,207.520,20.996,-94.238
1644531099.443,111.328,-189.453,-22.949,-60.059
1644531099.447,-176.758,-153.809,25.879,77.637
1644531099.449,-141.113,222.656,70.312,63.965
1644531099.453,157.227,76.660,0.000,-68.359
1644531099.457,186.035,-376.953,-46.875,-75.684
1644531099.461,-125.000,-87.891,20.020,27.344
1644531099.465,-217.285,245.117,34.668,69.824
1644531099.469,67.871,-117.188,-61.523,-29.297
1644531099.473,206.055,-859.863,-141.113,-89.355
1644531099.476,-49.805,-523.926,26.855,-6.836
1644531099.480,-217.285,185.547,97.168,95.215
1644531099.484,8.301,-183.105,-38.574,10.254
1644531099.488,208.008,-529.785,-41.992,-114.258
1644531099.492,14.160,-43.457,22.949,-68.359
1644531099.493,-223.633,209.473,22.461,65.918
1644531099.497,-104.004,-31.250,-30.762,38.086
1644531099.501,166.504,0.000,-25.391,-94.238
1644531099.505,105.957,167.480,-2.441,-79.102
