timestamps,TP9,AF7,AF8,TP10
1645482480.462,-945.801,-849.121,-350.098,-517.090
1645482480.466,510.742,388.672,240.234,285.645
1645482480.470,-903.809,-931.152,350.098,643.066
1645482480.474,-216.797,-83.496,-223.145,-101.074
1645482480.478,-1000.000,-1000.000,-492.188,-602.539
1645482480.482,-20.996,-243.652,-20.508,81.543
1645482480.486,-791.016,940.430,359.375,731.934
1645482480.489,160.156,314.941,-9.277,172.852
1645482480.493,-1000.000,-1000.000,-529.297,-599.121
1645482480.497,-280.273,-633.301,-194.824,-211.914
1645482480.501,-823.242,809.570,372.559,608.887
1645482480.505,424.805,697.266,205.078,372.070
1645482480.513,-1000.000,-714.355,-523.926,-492.188
1645482480.517,-588.379,-1000.000,-525.879,-427.246
1645482480.521,942.383,259.766,245.117,406.738
1645482480.525,854.980,-1000.000,353.516,489.258
1645482480.529,-633.301,-341.797,-450.684,-316.895
1645482480.533,-1000.000,-1000.000,-649.902,-579.590
1645482480.537,389.160,64.453,99.609,158.691
1645482480.540,-837.891,-889.160,389.648,564.453
1645482480.544,-49.805,52.734,-159.668,-86.914
1645482480.548,-1000.000,-1000.000,-803.223,-614.258
1645482480.552,-125.977,-300.781,-230.469,-73.242
1645482480.556,-791.992,-843.750,551.758,537.109
1645482480.567,217.773,347.168,-37.109,132.812
1645482480.571,-1000.000,-1000.000,-650.879,-559.082
1645482480.575,-352.051,-508.301,-119.141,-288.086
1645482480.579,-856.934,-991.211,444.336,445.312
1645482480.583,504.883,532.227,35.156,313.965
1645482480.587,-1000.000,-979.004,-708.984,-439.941
1645482480.591,-690.430,-791.992,-410.156,-467.773
1645482480.594,840.820,716.309,389.160,297.852
1645482480.598,924.316,726.074,120.605,500.977
1645482480.602,-514.160,-761.719,-628.418,-224.609
1645482480.606,-1000.000,-1000.000,-441.406,-569.824
1645482480.610,205.566,159.180,211.914,99.609
1645482480.613,-822.266,-969.238,373.047,555.176
1645482480.617,7.812,-20.508,-168.945,-22.461
1645482480.621,-1000.000,-1000.000,-516.113,-593.262
1645482480.625,-178.223,-213.379,0.488,-131.348
1645482480.629,-797.852,-855.957,468.262,533.203
1645482480.633,272.949,248.047,-30.762,202.637
1645482480.637,-1000.000,-1000.000,-673.828,-510.742
1645482480.640,-430.664,-684.082,-290.527,-311.035
1645482480.644,-905.762,365.234,169.434,447.754
1645482480.648,589.355,-247.070,-164.551,405.762
1645482480.652,-949.707,-1000.000,-510.742,-373.535
1645482480.656,-830.566,-859.863,-350.586,-492.188
1645482480.659,666.016,274.414,210.449,252.930
1645482480.663,-974.609,-949.219,376.953,495.117
1645482480.667,-353.027,-85.938,-184.082,-205.566
1645482480.671,-1000.000,-1000.000,-575.684,-584.961
1645482480.675,78.125,-136.230,-9.766,44.434
1645482480.679,-798.828,-891.602,378.418,563.965
1645482480.683,96.680,50.781,-121.094,16.602
1645482480.686,-1000.000,-1000.000,-709.473,-635.254
1645482480.690,-225.586,-479.980,-320.801,-193.848
1645482480.694,-805.176,973.145,427.246,536.133
1645482480.698,348.633,607.422,171.387,236.328
1645482480.702,-1000.000,-875.977,-655.273,-519.043
1645482480.703,-490.234,-788.086,-557.129,-374.512
1645482480.707,-964.355,686.035,366.211,397.949
1645482480.711,740.234,937.988,289.551,427.246
1645482480.715,-794.922,-486.816,-442.871,-354.492
1645482480.719,-904.297,-970.215,-415.527,-508.789
1645482480.723,583.496,362.305,197.266,237.305
1645482480.727,-910.156,999.512,307.617,518.555
1645482480.730,-207.031,-263.184,-481.445,-128.906
1645482480.734,-1000.000,-1000.000,-770.508,-587.891
1645482480.738,-20.996,58.594,156.738,-46.875
1645482480.742,-791.504,-841.797,448.730,530.762
1645482480.746,160.156,71.777,-143.066,82.520
1645482480.747,-1000.000,-1000.000,-540.039,-574.219
1645482480.751,-285.645,-283.691,-30.273,-237.305
1645482480.755,-825.684,-946.777,428.711,477.051
1645482480.759,421.387,349.121,40.527,286.133
1645482480.763,-1000.000,-919.922,-520.996,-453.125
1645482480.767,-587.891,-820.312,-377.930,-388.184
1645482480.771,944.336,479.492,195.312,368.652
1645482480.774,836.426,584.473,91.797,470.215
1645482480.778,-649.414,-636.230,-395.996,-253.418
1645482480.782,-1000.000,-931.152,-362.793,-488.281
1645482480.786,375.977,250.977,136.719,199.219
1645482480.790,-851.562,-882.812,359.863,566.895
1645482480.796,-81.055,71.777,-115.723,-27.344
1645482480.800,-1000.000,-1000.000,-555.664,-501.953
1645482480.804,-118.652,-575.684,-159.668,3.906
1645482480.808,-792.480,860.352,380.371,573.242
1645482480.812,226.074,390.625,-4.883,167.480
1645482480.816,-1000.000,-985.352,-643.066,-491.211
1645482480.820,-359.375,-1000.000,-483.887,-210.449
1645482480.823,-862.793,37.109,98.145,505.371
1645482480.827,527.832,822.266,252.930,351.562
1645482480.831,-1000.000,-607.910,-438.477,-382.324
1645482480.835,-689.941,-859.863,-415.039,-398.926
1645482480.839,833.008,568.848,298.828,310.547
1645482480.838,955.078,-958.008,368.652,478.027
1645482480.842,-477.539,-235.352,-324.707,-201.660
1645482480.846,-1000.000,-1000.000,-526.855,-509.277
1645482480.850,259.277,199.219,183.105,110.352
1645482480.854,-806.641,-916.504,379.883,543.945
1645482480.858,40.039,-61.035,-305.664,20.996
1645482480.862,-1000.000,-1000.000,-879.883,-480.957
1645482480.865,-166.504,-226.074,-145.020,-59.570
1645482480.869,-792.480,-837.891,527.832,530.762
1645482480.873,294.434,314.941,-27.344,229.492
1645482480.877,-1000.000,-1000.000,-585.449,-444.824
1645482480.881,-405.762,-531.250,-127.441,-264.160
1645482480.897,-895.020,941.895,441.406,459.473
1645482480.901,628.906,600.586,172.363,409.180
1645482480.905,-914.062,-794.922,-453.613,-326.660
1645482480.909,-805.176,-863.770,-349.609,-423.340
1645482480.913,700.684,537.109,291.992,272.949
1645482480.917,-962.402,774.902,242.676,515.137
1645482480.921,-323.242,-528.809,-411.133,-137.207
1645482480.924,-1000.000,-1000.000,-560.059,-503.418
1645482480.928,104.004,7.324,97.168,77.148
1645482480.932,-798.828,628.906,164.551,559.570
1645482480.936,90.332,-661.621,-512.207,74.707
1645482480.940,-1000.000,-1000.000,-542.480,-513.672
1645482480.942,-234.375,-268.066,-49.316,-130.859
1645482480.946,-808.105,-985.840,411.133,512.207
1645482480.950,363.770,607.422,122.070,238.770
1645482480.954,-1000.000,-787.109,-487.793,-443.359
1645482480.958,-472.168,-867.188,-370.605,-313.965
1645482480.962,-961.426,482.910,218.750,368.164
1645482480.966,776.855,858.887,208.984,383.301
1645482480.969,-743.164,-367.676,-332.031,-305.664
1645482480.973,-889.160,-1000.000,-542.480,-450.195
1645482480.977,584.473,-338.867,-65.918,230.957
1645482480.981,-873.047,-970.215,379.883,494.141
1645482480.985,-128.418,55.176,-137.695,-126.953
1645482480.989,-1000.000,-1000.000,-658.203,-506.348
1645482480.993,-1.953,-128.418,-102.051,17.578
1645482480.997,-784.180,-821.289,485.840,510.742
1645482481.001,170.898,344.238,-36.621,75.684
1645482481.005,-1000.000,-1000.000,-636.719,-515.137
1645482481.009,-287.109,-627.930,-189.941,-197.266
1645482481.013,-826.172,878.906,355.469,440.918
1645482481.016,435.059,472.656,31.738,244.629
1645482481.020,-1000.000,-1000.000,-756.348,-428.711
1645482481.024,-593.750,-818.359,-604.980,-378.418
1645482481.028,939.941,626.953,363.281,293.457
1645482481.032,843.750,883.301,238.281,383.301
1645482481.032,-644.043,-565.430,-472.168,-287.598
1645482481.036,-1000.000,-1000.000,-395.508,-512.207
1645482481.040,390.137,350.586,257.812,107.910
1645482481.044,-851.074,-984.375,336.426,446.289
1645482481.048,-83.008,-230.957,-326.660,-101.562
1645482481.052,-1000.000,-1000.000,-645.020,-535.645
1645482481.056,-101.562,-172.363,-2.441,-68.848
1645482481.059,-791.992,962.891,318.848,486.816
1645482481.063,210.938,-227.539,-305.664,124.512
1645482481.067,-1000.000,-1000.000,-571.289,-506.348
1645482481.071,-353.027,-377.441,-85.938,-256.836
1645482481.075,-856.445,940.430,348.633,407.227
1645482481.081,504.883,738.281,101.074,295.898
1645482481.085,-996.582,-591.309,-421.875,-352.051
1645482481.089,-684.082,-898.926,-386.230,-357.910
1645482481.093,793.457,288.086,138.184,292.969
1645482481.097,925.293,849.609,179.688,430.664
1645482481.101,-520.508,-375.000,-442.383,-208.008
1645482481.105,-1000.000,-1000.000,-563.965,-455.566
1645482481.108,207.520,-500.000,-165.527,129.395
1645482481.112,-820.312,413.086,149.414,484.375
1645482481.116,17.578,102.539,-56.152,-47.852
1645482481.120,-1000.000,-1000.000,-556.641,-511.719
1645482481.124,-176.270,-410.156,-79.590,-93.262
1645482481.122,-797.363,-944.824,447.266,451.172
1645482481.126,282.715,545.898,94.238,139.160
1645482481.130,-1000.000,-947.754,-597.168,-459.473
1645482481.134,-420.410,-600.098,-280.762,-274.414
1645482481.138,-904.297,930.176,411.621,364.258
1645482481.142,619.629,635.254,134.277,317.871
1645482481.146,-916.016,-741.699,-638.672,-336.426
1645482481.149,-839.844,-1000.000,-738.281,-403.809
1645482481.153,662.598,154.297,157.715,218.750
1645482481.157,-974.121,-907.715,389.160,405.762
1645482481.161,-353.516,-178.711,-302.734,-197.266
1645482481.165,-1000.000,-1000.000,-481.934,-524.902
1645482481.167,90.820,106.445,186.523,37.598
1645482481.171,-798.340,-813.965,457.031,515.625
1645482481.175,99.609,71.777,-136.230,17.578
1645482481.179,-1000.000,-1000.000,-552.734,-589.844
1645482481.183,-205.078,-251.465,-38.086,-167.480
1645482481.187,-860.352,-944.336,412.109,501.953
1645482481.191,262.695,130.371,-229.004,211.426
1645482481.194,-1000.000,-1000.000,-887.207,-490.723
1645482481.198,-462.891,-609.863,-254.395,-364.746
1645482481.202,-945.312,869.141,395.996,395.020
1645482481.206,721.191,440.430,75.195,416.992
1645482481.210,-792.969,-935.059,-484.375,-361.328
1645482481.212,-926.758,-849.121,-373.535,-539.551
1645482481.216,543.457,404.297,239.746,197.266
1645482481.220,-900.391,-906.738,366.699,517.090
1645482481.224,-201.172,-44.922,-184.570,-148.926
1645482481.228,-1000.000,-1000.000,-524.902,-617.676
1645482481.232,-12.695,-323.730,-67.383,-42.969
1645482481.236,-790.039,880.859,327.637,547.363
1645482481.239,163.574,322.754,-39.551,65.918
1645482481.243,-1000.000,-1000.000,-520.996,-604.004
1645482481.247,-289.551,-729.004,-213.867,-245.605
1645482481.251,-826.172,673.828,277.344,483.887
1645482481.255,422.363,696.289,139.160,258.789
1645482481.261,-1000.000,-699.219,-454.102,-516.113
1645482481.265,-593.262,-1000.000,-458.984,-428.223
1645482481.269,938.477,232.422,193.359,365.723
1645482481.273,841.309,-989.746,346.191,443.848
1645482481.277,-648.926,-318.848,-387.695,-327.637
1645482481.281,-1000.000,-1000.000,-621.094,-564.941
1645482481.285,385.742,61.035,103.027,139.648
1645482481.288,-846.680,-929.688,359.375,510.254
1645482481.292,-71.289,4.883,-195.801,-116.211
1645482481.296,-1000.000,-1000.000,-803.711,-609.863
1645482481.300,-116.699,-358.887,-265.137,-68.359
1645482481.304,-791.016,-871.582,515.137,531.738
1645482481.317,222.656,334.961,-54.688,108.887
1645482481.321,-1000.000,-1000.000,-683.594,-595.215
1645482481.325,-336.426,-497.070,-149.902,-306.641
1645482481.329,-851.562,-976.074,508.789,467.285
1645482481.333,512.695,530.273,78.613,352.539
1645482481.337,-1000.000,-982.422,-745.605,-396.484
1645482481.341,-682.129,-800.293,-395.020,-426.758
1645482481.344,846.680,692.871,395.020,315.918
1645482481.348,937.012,761.719,172.852,489.746
1645482481.352,-508.301,-731.934,-589.355,-245.117
1645482481.356,-1000.000,-1000.000,-458.984,-567.383
1645482481.360,265.137,214.355,210.938,117.188
1645482481.368,-808.594,-954.590,371.582,568.848
1645482481.372,32.715,1.465,-183.594,-32.715
1645482481.376,-1000.000,-1000.000,-545.410,-603.516
1645482481.380,-163.574,-281.250,-46.875,-107.910
1645482481.384,-792.480,921.387,306.152,573.242
1645482481.388,283.691,59.570,-155.273,221.680
1645482481.392,-1000.000,-1000.000,-662.598,-518.555
1645482481.395,-406.250,-653.809,-324.707,-310.059
1645482481.399,-892.578,421.387,152.832,478.516
1645482481.403,608.887,205.078,20.996,403.809
1645482481.407,-930.664,-734.375,-380.371,-418.945
1645482481.411,-818.848,-902.344,-395.996,-502.441
1645482481.407,688.477,292.480,215.332,277.832
1645482481.411,-976.562,-937.500,372.559,522.949
1645482481.415,-357.422,-77.148,-184.082,-199.707
1645482481.419,-1000.000,-1000.000,-543.945,-591.797
1645482481.423,92.285,-111.816,-27.344,68.359
1645482481.427,-798.828,-881.836,376.465,609.863
1645482481.431,94.727,57.129,-141.602,51.270
1645482481.434,-1000.000,-1000.000,-746.094,-589.844
1645482481.438,-234.375,-848.145,-492.676,-143.555
1645482481.442,-807.129,624.512,341.309,553.711
1645482481.446,351.074,682.617,160.645,246.094
1645482481.450,-1000.000,-912.109,-572.266,-513.184
1645482481.459,-477.539,-625.977,-212.891,-370.117
1645482481.463,-952.637,871.094,464.844,422.852
1645482481.467,727.539,883.301,226.074,440.430
1645482481.471,-793.457,-502.930,-484.863,-354.980
1645482481.475,-926.270,-1000.000,-461.914,-531.250
1645482481.479,547.363,272.461,175.781,228.516
1645482481.483,-905.273,991.699,312.500,546.387
1645482481.486,-211.426,-263.672,-481.934,-125.977
1645482481.490,-1000.000,-1000.000,-837.402,-575.684
1645482481.494,-17.578,-90.332,42.480,0.488
1645482481.498,-790.527,-843.750,453.613,576.660
1645482481.502,155.273,85.938,-167.480,90.820
1645482481.497,-1000.000,-1000.000,-576.172,-588.867
1645482481.501,-275.391,-294.922,-41.504,-217.773
1645482481.505,-822.266,-956.055,446.777,535.645
1645482481.509,421.387,603.516,138.184,302.734
1645482481.513,-1000.000,-743.164,-483.887,-479.004
1645482481.517,-578.125,-899.902,-417.480,-396.973
1645482481.521,953.125,450.684,188.965,400.879
1645482481.524,840.820,620.117,104.980,487.305
1645482481.528,-651.855,-626.953,-392.090,-289.062
1645482481.532,-1000.000,-944.336,-388.184,-532.227
1645482481.536,409.180,265.625,129.883,188.965
1645482481.540,-845.215,-934.082,289.062,569.824
1645482481.542,-71.289,-28.320,-202.148,-85.938
1645482481.546,-1000.000,-1000.000,-499.512,-611.328
1645482481.550,-102.051,-458.496,-122.070,-56.152
1645482481.554,-781.250,895.996,353.027,574.219
1645482481.558,212.402,389.160,-3.418,128.418
1645482481.562,-1000.000,-968.262,-645.020,-559.570
1645482481.566,-251.465,-1000.000,-463.379,-236.816
1645482481.569,-864.258,-9.277,122.559,485.352
1645482481.573,524.902,763.672,227.539,322.266
1645482481.577,-1000.000,-624.023,-496.582,-455.566
1645482481.581,-701.172,-895.996,-478.027,-464.844
1645482481.585,828.125,564.453,305.664,326.660
1645482481.588,948.730,-956.543,365.234,511.719
1645482481.592,-495.605,-259.277,-396.484,-223.633
1645482481.596,-1000.000,-1000.000,-562.012,-542.480
1645482481.600,264.160,186.523,186.035,125.488
1645482481.604,-805.664,-843.750,467.285,569.824
1645482481.608,35.645,7.324,-273.926,-22.949
1645482481.612,-1000.000,-1000.000,-820.801,-598.633
1645482481.615,-151.855,-187.012,-38.574,-125.000
1645482481.619,-789.551,-834.473,520.020,541.992
1645482481.623,305.176,312.012,-33.203,188.477
1645482481.627,-1000.000,-1000.000,-665.527,-561.035
1645482481.631,-383.301,-528.320,-177.734,-333.984
1645482481.656,-880.371,959.473,469.238,485.352
1645482481.660,622.070,611.816,160.645,436.035
1645482481.664,-915.527,-776.855,-488.281,-371.094
1645482481.668,-812.500,-949.219,-409.180,-478.516
1645482481.672,709.473,530.762,282.227,333.008
1645482481.676,-986.328,526.367,117.676,600.098
1645482481.680,-377.930,-930.176,-689.453,-172.363
1645482481.683,-1000.000,-1000.000,-609.375,-597.656
1645482481.687,110.840,90.332,128.906,77.637
1645482481.691,-794.922,825.195,255.371,617.676
1645482481.695,103.027,-212.891,-256.348,43.457
1645482481.699,-1000.000,-1000.000,-522.949,-633.789
1645482481.692,-225.586,-341.797,-108.398,-186.523
1645482481.696,-804.199,-994.141,386.719,565.918
1645482481.700,347.168,581.055,85.449,252.930
1645482481.704,-1000.000,-806.152,-501.465,-558.594
1645482481.708,-487.793,-850.586,-350.098,-413.574
1645482481.712,-955.078,517.090,222.168,413.086
1645482481.716,710.449,790.039,168.945,416.992
1645482481.719,-804.199,-497.070,-468.262,-393.066
1645482481.723,-953.125,-1000.000,-613.281,-562.012
1645482481.727,506.348,-515.137,-137.695,208.984
1645482481.731,-911.133,849.121,320.801,524.902
1645482481.735,-230.957,13.672,-187.012,-175.781
1645482481.741,-1000.000,-1000.000,-574.707,-625.000
1645482481.745,-23.926,20.020,87.891,-14.160
1645482481.749,-794.434,-813.965,486.816,557.129
1645482481.753,151.367,324.219,-59.570,71.777
1645482481.757,-1000.000,-1000.000,-682.617,-599.609
1645482481.761,-290.527,-589.355,-198.730,-233.398
1645482481.765,-827.148,932.129,411.133,525.391
1645482481.768,414.062,498.047,3.906,312.012
1645482481.772,-1000.000,-959.961,-659.668,-488.770
1645482481.776,-587.891,-827.637,-398.438,-420.410
1645482481.780,945.312,557.617,312.988,392.090
1645482481.784,832.520,892.090,256.836,483.887
1645482481.790,-658.203,-517.090,-579.102,-275.391
1645482481.794,-1000.000,-1000.000,-601.074,-544.434
1645482481.798,385.742,288.574,251.953,157.715
1645482481.802,-853.516,-988.770,362.305,558.594
1645482481.806,-94.238,-309.082,-379.395,-77.637
