timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp
1667064866.671,375.488,196.289,-173.340,282.715,6957.557
1667064866.675,-44.922,-499.512,-240.234,-109.375,6957.561
1667064866.679,-380.371,-782.715,-119.141,-328.613,6957.565
1667064866.683,-27.344,-136.719,-55.176,27.832,6957.569
1667064866.687,379.883,168.457,-164.062,322.266,6957.573
1667064866.691,96.680,-519.531,-303.711,30.273,6957.577
1667064866.695,-349.121,-995.605,-231.934,-301.758,6957.581
1667064866.698,-167.480,-516.113,-118.164,-83.008,6957.585
1667064866.702,335.938,-17.090,-178.711,305.664,6957.588
1667064866.706,232.910,-611.328,-350.098,164.551,6957.592
1667064866.710,-283.691,-909.668,-231.934,-259.277,6957.596
1667064866.714,-285.645,-400.391,-53.711,-202.637,6957.600
1667064866.715,224.121,-131.348,-66.895,236.328,6957.601
1667064866.719,347.168,-118.164,-224.609,251.465,6957.605
1667064866.723,-125.488,-304.688,-197.266,-174.316,6957.609
1667064866.727,-352.539,-450.195,-119.141,-281.250,6957.613
1667064866.731,68.359,-348.145,-191.406,124.512,6957.617
1667064866.735,375.488,-313.477,-281.250,315.918,6957.620
1667064866.739,-0.488,-604.492,-282.227,-58.594,6957.624
1667064866.742,-363.281,-871.094,-200.195,-312.012,6957.628
1667064866.746,-70.312,-881.348,-182.129,2.930,6957.632
1667064866.750,344.238,-984.375,-127.441,334.473,6957.636
1667064866.754,114.258,-643.066,86.914,54.199,6957.640
1667064866.758,-263.184,-606.934,140.625,-253.906,6957.644
1667064866.791,9.766,-560.059,158.203,37.598,6957.677
1667064866.795,493.652,104.492,132.812,421.387,6957.681
1667064866.799,373.047,286.621,58.594,250.000,6957.685
1667064866.803,-163.086,-267.090,3.906,-190.430,6957.689
1667064866.807,-255.371,-569.336,-61.523,-177.734,6957.693
1667064866.811,208.496,-251.953,-51.270,229.492,6957.697
1667064866.815,373.047,-86.426,-66.895,294.434,6957.700
1667064866.818,-72.754,-410.645,-256.836,-124.023,6957.704
1667064866.822,-359.375,-878.906,-348.145,-266.113,6957.708
1667064866.826,32.715,-352.539,-182.129,114.746,6957.712
1667064866.830,395.020,363.281,-196.777,328.125,6957.716
1667064866.834,48.828,-251.953,-361.816,-14.160,6957.720
1667064866.807,-362.305,-964.355,-358.398,-302.734,6957.697
1667064866.811,-116.211,-424.316,-149.902,-36.133,6957.701
1667064866.815,354.980,261.230,-84.961,315.918,6957.705
1667064866.819,166.504,-258.789,-237.793,94.727,6957.709
1667064866.823,-327.637,-967.773,-240.723,-288.574,6957.713
