timestamps,TP9,AF7,AF8,TP10
1628313255.402,129.883,-75.195,-16.113,86.426
1628313255.406,-388.184,-827.637,-38.086,-223.633
1628313255.410,-174.805,-525.879,-1.465,-80.566
1628313255.414,403.809,425.781,30.762,255.371
1628313255.418,296.387,234.863,2.930,167.969
1628313255.422,-338.379,-857.910,-29.785,-185.059
1628313255.425,-375.000,-913.086,-2.930,-166.992
1628313255.429,261.719,189.453,13.672,177.734
1628313255.433,405.273,235.352,-21.973,234.375
1628313255.437,-239.258,-858.398,-38.574,-117.676
1628313255.441,-496.582,-815.918,-3.418,-229.980
1628313255.445,71.777,48.340,17.090,95.215
1628313255.461,447.754,191.406,18.066,285.156
1628313255.465,-75.684,-602.051,3.418,-19.043
1628313255.469,-477.539,-961.426,9.766,-240.234
1628313255.473,-96.680,-298.340,26.855,-24.902
1628313255.477,444.336,-105.469,1.953,286.621
1628313255.481,137.695,-928.711,-33.203,104.980
1628313255.484,-447.754,-944.336,-14.648,-233.398
1628313255.488,-285.645,-463.867,-2.930,-132.812
1628313255.492,352.051,-24.902,-1.465,222.168
1628313255.496,337.891,163.574,-7.812,178.711
1628313255.500,-297.363,-264.648,-28.809,-202.637
1628313255.504,-379.883,-620.117,-21.484,-234.863
1628313255.505,228.027,-283.691,-0.977,125.488
1628313255.509,434.570,258.789,-9.766,237.305
1628313255.513,-157.715,-30.762,-43.457,-116.211
1628313255.517,-472.656,-757.324,-57.129,-271.973
1628313255.521,8.789,-603.027,-23.926,41.016
1628313255.525,460.938,73.242,10.742,283.691
1628313255.528,51.270,-282.227,-26.855,7.324
1628313255.532,-440.430,-993.164,-58.105,-263.184
1628313255.536,-160.645,-807.617,-29.785,-67.871
1628313255.540,427.734,228.516,-0.977,260.254
1628313255.544,208.008,383.301,-36.621,102.051
1628313255.548,-407.715,-611.816,-76.660,-243.164
1628313255.550,-321.777,-947.754,-63.965,-163.086
1628313255.554,321.289,-14.160,-33.691,199.219
1628313255.558,400.879,530.762,-57.129,204.590
1628313255.562,-251.953,-472.168,-91.797,-157.715
1628313255.566,-404.297,-907.715,-66.895,-207.520
1628313255.570,188.477,-125.488,-30.762,130.859
1628313255.573,453.613,186.035,-38.574,258.789
1628313255.577,-97.168,-543.457,-86.914,-70.801
1628313255.581,-483.398,-976.074,-72.754,-261.230
1628313255.585,-31.250,-73.242,8.301,8.789
1628313255.589,438.965,639.648,-7.324,282.715
1628313255.593,41.016,-78.613,-46.875,45.410
1628313255.612,-443.359,-647.949,-36.133,-254.395
1628313255.616,-224.609,-183.105,-20.996,-108.398
1628313255.620,354.980,359.863,-21.484,235.840
1628313255.624,300.293,163.086,-30.762,150.391
1628313255.628,-325.684,-452.637,-24.414,-199.707
1628313255.632,-345.215,-683.105,-8.789,-168.457
1628313255.635,299.316,-236.816,-9.766,201.172
1628313255.639,406.738,-325.195,-20.508,231.934
1628313255.643,-220.703,-597.168,-14.160,-171.875
1628313255.647,-445.801,-625.977,-20.508,-297.363
1628313255.651,78.125,-576.172,-9.766,38.086
1628313255.655,393.066,-37.598,-15.137,209.961
1628313255.640,-153.809,-177.734,-74.219,-172.852
1628313255.644,-548.340,-914.062,-68.359,-400.879
1628313255.648,-172.363,-800.781,-14.160,-142.090
1628313255.652,336.426,124.512,2.441,135.742
1628313255.656,30.273,316.406,-8.789,-62.988
1628313255.660,-547.852,-682.129,-18.066,-395.020
