timestamps,TP9,AF7,AF8,TP10
1628630585.011,-56.152,-796.387,-83.008,-46.875
1628630585.015,-52.246,-1000.000,-79.102,-31.250
1628630585.019,-33.203,-665.527,-67.871,-3.906
1628630585.023,-38.574,-236.816,-70.312,-18.555
1628630585.027,-30.273,-642.578,-70.312,-40.527
1628630585.031,-26.855,-801.270,-60.547,-31.738
1628630585.034,-18.555,-375.488,-49.805,5.371
1628630585.038,-3.418,-101.562,-56.152,-1.953
1628630585.042,-12.207,-750.488,-69.824,-40.039
1628630585.046,-13.184,-792.480,-62.988,-37.598
1628630585.050,-12.695,-98.145,-61.035,-6.348
1628630585.054,-19.043,-78.613,-72.266,-4.883
1628630585.056,-27.832,-482.422,-77.637,-32.715
1628630585.060,-35.156,-549.805,-56.152,-46.875
1628630585.064,-23.926,-396.973,-42.969,-22.461
1628630585.068,-13.184,-237.305,-52.246,-1.465
1628630585.072,-20.508,-665.039,-62.500,-36.133
1628630585.076,-22.461,-892.578,-60.059,-56.152
1628630585.079,-12.695,-540.039,-50.781,-33.203
1628630585.083,8.301,-270.020,-35.645,-1.953
1628630585.087,-5.859,-801.758,-42.969,-3.418
1628630585.091,-44.922,-582.031,-56.641,-31.738
1628630585.095,-42.969,-258.301,-46.387,-21.484
1628630585.099,-18.066,-414.062,-40.527,15.137
1628630585.100,-0.977,-303.223,-51.758,7.324
1628630585.104,0.977,-485.352,-58.594,-23.438
1628630585.108,-5.859,-407.227,-50.781,-23.926
1628630585.112,-0.488,-493.164,-56.152,8.789
1628630585.116,-0.977,-714.355,-58.594,22.461
1628630585.120,-22.461,-557.129,-54.688,-17.090
1628630585.123,-22.461,-614.258,-54.199,-48.340
1628630585.127,-10.254,-805.664,-51.758,-15.625
1628630585.131,-9.766,-522.949,-49.805,12.695
1628630585.135,-29.297,-64.941,-50.781,-23.438
1628630585.139,-32.227,-275.391,-50.293,-54.199
1628630585.143,-24.414,-806.641,-46.875,-35.156
1628630585.146,-21.973,-354.004,-45.898,-6.348
1628630585.150,-20.996,18.066,-47.363,-20.020
1628630585.154,-22.461,-407.715,-46.875,-42.969
1628630585.158,-31.250,-545.410,-38.574,-30.273
1628630585.162,-22.461,-154.297,-46.875,0.488
1628630585.166,-5.859,-253.906,-49.316,-0.488
1628630585.169,-12.207,-737.793,-30.762,-35.156
1628630585.173,-25.391,-823.730,-39.062,-41.992
1628630585.177,-23.926,-309.570,-45.898,-8.789
1628630585.181,-24.902,49.316,-50.293,3.906
1628630585.185,-43.457,-415.527,-52.734,-30.273
1628630585.189,-33.691,-941.406,-53.711,-30.762
1628630585.190,-0.977,-529.297,-60.059,0.977
1628630585.194,-7.812,-304.688,-62.988,5.859
1628630585.198,-44.434,-679.688,-70.801,-40.039
1628630585.202,-46.387,-797.363,-69.824,-63.477
1628630585.206,-40.039,-399.902,-64.453,-41.504
1628630585.210,-30.762,-288.086,-72.266,-16.602
1628630585.213,-34.180,-732.422,-78.613,-34.668
1628630585.217,-55.664,-813.965,-79.102,-84.473
1628630585.221,-58.594,-297.852,-89.355,-97.168
1628630585.225,-45.410,-220.703,-94.238,-71.289
1628630585.229,-34.180,-705.566,-89.844,-58.105
1628630585.233,-33.691,-532.227,-86.914,-72.754
1628630585.235,-27.832,-193.848,-91.309,-76.660
1628630585.239,-21.973,-254.395,-93.750,-52.246
1628630585.243,-19.531,-348.633,-95.215,-38.574
1628630585.247,-32.715,-265.625,-90.332,-64.941
1628630585.251,-38.574,-296.387,-70.801,-72.266
1628630585.255,-28.320,-624.023,-66.406,-41.992
1628630585.258,-7.812,-912.109,-61.523,-7.812
1628630585.262,-3.906,-463.867,-68.848,-24.414
1628630585.266,-31.738,-229.980,-85.449,-62.012
1628630585.270,-37.598,-501.465,-81.543,-48.828
1628630585.274,-17.090,-295.898,-57.129,-18.066
1628630585.278,-11.719,-119.629,-50.293,-28.809
1628630585.281,-27.344,-520.508,-63.477,-60.059
1628630585.285,-39.062,-906.250,-66.895,-52.734
1628630585.289,-18.555,-868.652,-54.199,-8.789
1628630585.293,-7.324,-236.816,-50.781,-2.441
1628630585.297,-25.391,-186.523,-59.082,-24.902
1628630585.301,-23.926,-794.434,-61.035,-29.785
1628630585.304,-9.277,-756.836,-57.617,-12.207
1628630585.308,7.812,-104.980,-51.758,14.160
1628630585.312,10.254,-120.117,-66.895,-9.277
1628630585.316,-12.207,-816.895,-58.594,-41.992
1628630585.320,-16.113,-564.453,-34.668,-21.484
1628630585.324,0.000,55.176,-39.551,14.648
1628630585.341,-2.441,-155.762,-44.434,3.906
1628630585.345,-12.695,-548.340,-51.270,-28.809
1628630585.349,-22.461,-553.223,-48.340,-23.926
1628630585.353,-6.348,-280.273,-47.363,6.836
1628630585.357,1.953,-205.566,-57.129,6.348
1628630585.361,-5.859,-865.723,-53.223,-17.090
1628630585.364,-5.371,-834.473,-44.434,-24.902
1628630585.368,0.488,-137.207,-46.387,-3.418
1628630585.372,8.789,-187.012,-48.828,9.277
1628630585.376,-5.371,-725.098,-51.270,-19.043
1628630585.380,-23.438,-469.727,-38.574,-38.086
1628630585.384,-15.137,-144.043,-26.367,-6.836
1628630585.386,-8.789,-301.270,-30.762,15.625
1628630585.390,-22.949,-598.145,-40.527,-2.930
1628630585.394,-32.227,-495.605,-45.898,-26.855
1628630585.398,-24.902,-254.395,-45.898,-20.020
1628630585.402,-12.695,-544.434,-51.758,12.695
1628630585.406,-6.836,-797.852,-53.223,-6.836
1628630585.409,-10.742,-758.789,-48.340,-37.598
1628630585.413,-19.531,-693.848,-48.828,-29.785
1628630585.417,-9.277,-824.707,-52.246,11.719
1628630585.421,-2.441,-979.004,-56.641,23.438
1628630585.425,-10.254,-427.246,-55.176,-25.391
1628630585.429,-19.043,-277.832,-44.922,-29.297
1628630585.430,-12.207,-374.512,-34.668,4.395
1628630585.434,-7.812,-30.273,-42.480,7.812
1628630585.438,-22.949,-98.633,-55.176,-23.438
1628630585.442,-26.855,-439.941,-54.688,-41.992
1628630585.446,-22.949,-466.797,-46.875,-20.508
1628630585.450,-1.465,-348.633,-30.273,16.113
1628630585.453,-1.953,-512.695,-45.898,-6.348
