timestamps,emg_signal
1686714372.9522278,340
1686714372.9680977,339
1686714372.9802692,339
1686714372.992933,339
1686714373.008931,338
1686714373.0215075,339
1686714373.033497,339
1686714373.049774,340
1686714373.0627735,340
1686714373.0751104,341
1686714373.0912414,341
1686714373.103256,343
1686714373.1192653,343
1686714373.1322634,344
1686714373.144207,345
1686714373.1612065,346
1686714373.1732082,347
1686714373.1852047,349
1686714373.2012994,350
1686714373.2143788,351
1686714373.226838,352
1686714373.2428656,354
1686714373.2551932,355
1686714373.2718716,356
1686714373.28391,357
1686714373.296247,358
1686714373.3123548,359
1686714373.3250816,360
1686714373.337263,361
1686714373.3538413,362
1686714373.365614,363
1686714373.378119,364
1686714373.3947778,365
1686714373.4068353,366
1686714373.4227998,367
1686714373.4346957,367
1686714373.4479501,368
1686714373.4639533,368
1686714373.4761293,368
1686714373.487974,369
1686714373.5048766,370
1686714373.5168965,370
1686714373.5290377,371
1686714373.5460362,372
1686714373.5585341,372
1686714373.5703208,373
1686714373.5869532,373
1686714373.5989544,374
1686714373.6155837,375
1686714373.6278708,375
1686714373.6398737,376
1686714373.6561806,377
1686714373.6692212,377
1686714373.6811812,378
1686714373.6974564,378
1686714373.7094402,378
1686714373.72235,379
1686714373.7384176,380
1686714373.750373,380
1686714373.7664714,381
1686714373.779537,381
1686714373.7915914,381
1686714373.807645,381
1686714373.8207076,381
1686714373.8331053,381
1686714373.848782,382
1686714373.8613768,382
1686714373.87353,381
1686714373.890198,381
1686714373.9016526,381
1686714373.9147952,381
1686714373.9310308,380
1686714373.943102,380
1686714373.959043,380
1686714373.9719372,380
1686714373.9841433,379
1686714373.9999022,380
1686714374.0128253,380
1686714374.0246162,379
1686714374.0416377,379
1686714374.0538008,379
1686714374.0657976,379
1686714374.0826795,379
1686714374.0948927,379
1686714374.1105804,379
1686714374.1237316,378
1686714374.135361,378
1686714374.1521602,378
1686714374.164551,378
1686714374.1765056,378
1686714374.1927516,378
1686714374.205427,378
1686714374.2174904,378
1686714374.233566,378
1686714374.24591,378
1686714374.2589102,378
1686714374.2750797,378
1686714374.2872057,378
1686714374.3032277,378
1686714374.316352,378
1686714374.328351,379
1686714374.3443766,379
1686714374.3571677,379
1686714374.3693378,378
1686714374.3854525,378
1686714374.3975477,378
1686714374.4104166,377
1686714374.4263916,376
1686714374.4384549,376
1686714374.4547884,376
1686714374.4678304,376
1686714374.4798338,375
1686714374.4959896,374
1686714374.5079887,374
1686714374.5210848,374
1686714374.5369787,373
1686714374.5489547,373
1686714374.5615816,373
1686714374.5776548,373
1686714374.5906146,373
1686714374.6066163,372
1686714374.6184676,372
1686714374.6314833,372
1686714374.6477766,372
1686714374.659784,372
1686714374.6717527,371
1686714374.6890936,371
1686714374.7014253,370
1686714374.7130606,370
1686714374.729757,370
1686714374.741737,370
1686714374.753622,370
1686714374.7705636,370
1686714374.782565,370
1686714374.798565,370
1686714374.8116474,370
1686714374.8236492,370
1686714374.839827,370
1686714374.8520498,371
1686714374.8643444,371
1686714374.881342,370
1686714374.8933458,370
1686714374.9053879,370
1686714374.9225564,369
1686714374.9346802,369
1686714374.9503708,369
1686714374.9623709,368
1686714374.9753683,368
1686714374.9914968,368
1686714375.003561,368
1686714375.016499,368
1686714375.032451,368
1686714375.0444498,369
1686714375.0575821,369
1686714375.0735836,369
1686714375.085834,369
1686714375.0986414,369
1686714375.1149173,369
1686714375.1268916,369
1686714375.142701,369
1686714375.1559737,370
1686714375.1682088,370
1686714375.184371,370
1686714375.1964183,369
1686714375.2084806,370
1686714375.2250376,370
1686714375.2400355,370
1686714375.2504191,370
1686714375.266008,370
1686714375.2780092,370
1686714375.2943866,370
1686714375.3065743,370
1686714375.3196251,370
1686714375.3357034,370
1686714375.347893,370
1686714375.3597963,370
1686714375.3770707,370
1686714375.3889527,370
1686714375.4009533,370
1686714375.4180143,370
1686714375.4297795,369
1686714375.4424875,369
1686714375.4583824,369
1686714375.4703846,369
1686714375.4873354,369
1686714375.4992537,369
1686714375.5115318,368
1686714375.5285475,368
1686714375.540547,368
1686714375.5526652,368
1686714375.5689614,368
1686714375.581782,368
