,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1686191286.29,150.879,264.16,153.809,-11.719,2126.19,315.2948741026068
1,1686191286.3,-178.223,-243.652,-87.891,-40.527,2126.194,320.17553323579085
2,1686191286.3,-218.262,-265.625,-11.23,-40.039,2126.197,323.5243870051712
3,1686191286.31,103.027,178.223,176.27,-15.137,2126.201,321.97235278292095
4,1686191286.31,192.383,206.543,106.445,-8.789,2126.205,317.5051727884818
5,1686191286.31,-115.723,-408.203,-155.273,-31.25,2126.209,321.858901003497
6,1686191286.32,-270.508,-721.191,-242.676,-41.504,2126.213,323.3836306418183
7,1686191286.32,9.277,-322.266,7.812,-19.531,2126.217,317.2209961212289
8,1686191286.32,219.238,88.379,170.41,-8.301,2126.221,317.678567235726
9,1686191286.33,-25.879,-580.078,-301.27,-27.344,2126.225,321.67224461165665
10,1686191286.33,-280.762,-958.008,-441.895,-42.969,2126.229,315.0143979875244
11,1686191286.34,-69.824,-57.617,107.422,-24.414,2126.233,322.1257311119545
12,1686191286.34,210.449,226.074,153.809,-0.977,2126.235,318.64427051578025
13,1686191286.34,81.055,-70.801,15.137,-18.555,2126.239,313.20404659365477
14,1686191286.35,-214.355,-98.145,36.621,-41.992,2126.242,319.72433365906
15,1686191286.35,-153.809,61.035,120.117,-32.715,2126.246,315.28932928741153
16,1686191286.36,153.32,82.031,97.656,2.93,2126.25,319.01452760881267
17,1686191286.36,157.715,-216.309,-8.789,8.301,2126.254,316.60667815123594
18,1686191286.36,-148.438,-446.777,-109.375,-24.414,2126.258,315.9567044799649
19,1686191286.37,-217.773,-158.203,40.527,-27.344,2126.262,321.9453952701185
20,1686191286.37,77.148,-294.922,-25.391,11.719,2126.266,319.63340791488224
21,1686191286.37,191.406,-601.074,-138.184,24.414,2126.27,319.77799994207174
22,1686191286.38,-73.242,-34.668,82.031,-7.324,2126.274,325.0954563630906
23,1686191286.38,-254.395,-174.805,-71.289,-18.555,2126.278,320.6838042325212
24,1686191286.38,-16.113,-478.516,-94.238,2.93,2126.279,316.1082151292533
25,1686191286.39,218.75,-50.781,115.723,11.719,2126.283,312.5906754701183
26,1686191286.39,28.32,219.727,134.766,-2.93,2126.287,316.9590260417602
27,1686191286.4,-246.094,-103.027,-36.133,-24.902,2126.291,321.8011654156282
28,1686191286.4,-101.562,-493.652,-147.461,-12.207,2126.295,320.1207749307684
29,1686191286.4,194.336,-349.609,30.762,13.672,2126.299,317.8353988220479
30,1686191286.41,101.074,-182.617,53.223,-3.418,2126.303,320.4625116171191
31,1686191286.41,-214.355,-391.602,-125.488,-38.086,2126.307,314.25757175668656
32,1686191286.41,-207.031,-862.793,-364.258,-27.832,2126.311,320.43819280040145
33,1686191286.42,106.445,-688.477,-163.086,7.324,2126.315,317.724331475437
34,1686191286.42,170.41,256.836,250.977,1.953,2126.319,313.6843782944717
35,1686191286.43,-131.836,-19.531,-40.039,-26.367,2126.322,313.13778994315
36,1686191286.43,-231.445,-373.535,-125.977,-24.902,2126.328,322.5101673062429
37,1686191286.43,70.312,146.484,172.852,3.418,2126.332,321.7366128099147
38,1686191286.44,224.121,239.746,178.711,13.184,2126.336,321.7452090229749
39,1686191286.44,-51.758,-390.137,-176.758,-4.395,2126.34,311.8808400069284
40,1686191286.44,-247.07,-728.516,-316.895,-16.113,2126.344,316.6090500954109
41,1686191286.45,-5.371,-399.902,4.395,-6.348,2126.348,316.3910738216371
42,1686191286.45,226.562,53.223,185.547,8.301,2126.352,327.27977075552354
43,1686191286.46,38.574,-281.25,-109.863,0.977,2126.355,328.10862894191865
44,1686191286.46,-259.277,-807.617,-342.285,-22.949,2126.359,316.15424059185597
45,1686191286.46,-114.258,-112.793,89.844,-16.602,2126.363,322.0923120510427
46,1686191286.47,199.219,337.891,210.449,7.812,2126.367,316.35074801034943
47,1686191286.47,122.07,31.25,38.574,-4.883,2126.371,324.5434737050681
48,1686191286.47,-198.242,-229.004,-45.41,-40.039,2126.369,321.3550857480087
49,1686191286.48,-198.73,-69.336,62.988,-38.086,2126.373,313.95329564214137
50,1686191286.48,136.719,133.789,142.09,0.488,2126.377,312.5618290973819
51,1686191286.48,178.711,64.941,108.398,6.348,2126.381,314.3044017991998
52,1686191286.49,-139.648,-213.379,-46.875,-24.414,2126.385,311.02869415304696
53,1686191286.49,-229.492,-457.031,-200.195,-24.902,2126.389,322.32605056801776
54,1686191286.5,60.059,-269.043,20.508,1.465,2126.393,314.86677284683225
55,1686191286.5,209.961,-548.34,-152.832,11.23,2126.397,319.8227833076628
56,1686191286.5,-59.082,-1000.0,-444.824,-11.719,2126.401,316.947150707568
57,1686191286.51,-257.324,-415.039,-53.711,-36.133,2126.405,321.04536252185676
58,1686191286.51,-38.574,-50.781,96.191,-21.973,2126.409,320.39551741564657
59,1686191286.52,219.727,8.301,122.07,-1.953,2126.412,318.24656268388526
60,1686191286.52,73.73,175.781,141.602,-17.09,2126.415,320.23148082466616
61,1686191286.52,-217.773,14.16,30.273,-40.039,2126.418,315.31194739922125
62,1686191286.53,-128.906,-295.41,-55.664,-34.668,2126.422,315.885250971811
63,1686191286.53,179.688,-81.055,111.816,-4.395,2126.426,320.16212489597433
64,1686191286.54,146.484,217.285,136.719,-6.836,2126.43,321.4011759686389
65,1686191286.54,-176.758,-248.047,-148.438,-32.715,2126.434,323.11207796890363
66,1686191286.54,-220.215,-773.438,-333.008,-32.227,2126.438,318.4920434353507
67,1686191286.55,94.238,-779.785,-210.938,-6.836,2126.442,314.7918954957499
68,1686191286.55,211.426,-21.484,162.598,-4.395,2126.446,314.0271542776253
69,1686191286.55,-76.172,205.078,111.328,-33.203,2126.45,315.96904366700176
70,1686191286.56,-250.488,-491.699,-163.086,-44.434,2126.454,318.72763502634643
71,1686191286.56,14.648,-528.809,-28.809,-21.973,2126.457,316.5871970645846
72,1686191286.56,221.68,202.637,218.75,-12.207,2126.473,317.0773512337941
73,1686191286.57,-10.254,153.32,51.758,-40.039,2126.477,311.46122925928654
74,1686191286.57,-270.02,-345.215,-149.414,-66.895,2126.481,319.9137149527624
75,1686191286.58,-91.309,-158.203,41.016,-46.875,2126.485,319.60352049170496
76,1686191286.58,197.754,277.344,220.215,-20.02,2126.489,315.56483160910136
77,1686191286.58,80.078,-5.371,47.363,-28.809,2126.493,319.4074967249372
78,1686191286.59,-235.352,-783.203,-421.387,-39.551,2126.497,320.8908120993906
79,1686191286.59,-180.664,-827.148,-345.703,-26.855,2126.501,317.00991792756497
80,1686191286.59,164.062,73.73,187.012,-12.695,2126.505,315.0392505562365
81,1686191286.6,174.316,150.879,81.543,-19.531,2126.509,316.0520189150288
82,1686191286.6,-162.109,-627.441,-238.77,-46.387,2126.513,317.4354458905108
83,1686191286.61,-229.004,-487.305,-68.848,-43.945,2126.516,316.178745380294
84,1686191286.61,93.75,243.652,200.684,-13.672,2126.519,316.472170302334
85,1686191286.61,201.66,147.461,61.523,-10.742,2126.523,316.6237454962923
86,1686191286.62,-95.703,-312.012,-127.441,-41.504,2126.527,319.29939549319096
87,1686191286.62,-259.277,-169.922,18.555,-59.082,2126.531,315.71810061750205
88,1686191286.62,5.371,165.039,162.598,-38.574,2126.535,314.2215183315015
89,1686191286.63,208.496,-203.613,-42.48,-12.207,2126.539,319.4722896315077
90,1686191286.63,-15.137,-666.504,-257.812,-20.02,2126.542,321.5292439364034
