,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1685672122.238,-24.902,227.539,84.473,-44.922,1343.146,312
1,1685672122.242,55.176,169.434,137.207,66.406,1343.15,312
2,1685672122.246,42.969,205.078,98.145,56.152,1343.154,312
3,1685672122.25,-34.668,194.336,31.25,-54.199,1343.158,312
4,1685672122.254,-42.48,105.469,34.668,-68.848,1343.162,313
5,1685672122.258,32.227,-137.207,-28.32,48.34,1343.166,313
6,1685672122.262,55.176,-36.133,52.246,81.055,1343.17,313
7,1685672122.265,-22.461,229.004,108.887,-23.438,1343.174,313
8,1685672122.269,-67.871,-12.207,-69.824,-80.566,1343.178,313
9,1685672122.273,6.836,-690.43,-305.176,15.625,1343.181,313
10,1685672122.277,68.848,-562.5,-136.23,85.938,1343.185,313
11,1685672122.281,8.789,288.086,182.129,4.395,1343.189,313
12,1685672122.311,-64.941,-55.176,-91.309,-85.449,1343.208,312
13,1685672122.315,-19.531,-290.039,-131.348,-30.273,1343.212,312
14,1685672122.319,58.594,248.535,178.711,69.824,1343.215,312
15,1685672122.323,21.973,155.273,80.078,30.762,1343.219,312
16,1685672122.327,-53.223,-333.496,-212.402,-66.895,1343.223,312
17,1685672122.331,-44.434,-909.18,-495.605,-51.758,1343.227,312
18,1685672122.335,35.156,-749.512,-232.422,42.969,1343.231,313
19,1685672122.338,49.805,266.602,223.145,53.223,1343.235,313
20,1685672122.341,-51.758,-415.527,-150.391,-71.777,1343.238,313
21,1685672122.342,-43.457,0.488,-86.914,-52.734,1343.239,313
22,1685672122.345,-34.18,-59.082,19.043,-60.547,1343.242,313
23,1685672122.346,-52.246,-295.41,-192.383,-75.684,1343.243,313
24,1685672122.349,49.316,457.52,190.43,49.316,1343.246,314
25,1685672122.35,47.852,291.504,148.926,53.711,1343.247,314
26,1685672122.353,50.293,265.137,89.844,63.965,1343.249,314
27,1685672122.354,27.344,81.055,39.551,39.551,1343.251,314
28,1685672122.357,-33.203,-312.5,-92.773,-38.574,1343.253,314
29,1685672122.361,-52.246,-394.043,-156.738,-70.801,1343.257,314
30,1685672122.365,25.391,-33.691,0.0,26.367,1343.261,313
31,1685672122.368,62.5,144.043,73.73,82.52,1343.265,313
32,1685672122.372,-9.277,-63.477,-30.762,-7.812,1343.269,313
33,1685672122.376,-67.383,22.461,7.324,-85.938,1343.273,313
34,1685672122.38,-2.93,297.852,92.285,-8.789,1343.277,313
35,1685672122.384,60.059,74.219,15.137,76.66,1343.281,313
36,1685672122.387,2.441,-557.129,-133.301,20.02,1343.286,312
37,1685672122.391,-71.777,-366.211,-115.234,-80.566,1343.29,312
38,1685672122.395,-36.621,32.715,28.809,-52.734,1343.294,312
39,1685672122.399,48.828,-317.383,-90.82,58.105,1343.298,312
40,1685672122.403,30.762,-629.395,-133.301,44.922,1343.302,312
41,1685672122.407,-54.199,-308.105,-68.359,-63.965,1343.305,312
42,1685672122.411,-56.152,-240.234,-187.5,-65.43,1343.309,312
43,1685672122.414,38.086,-497.559,-227.051,54.688,1343.313,312
44,1685672122.418,63.965,-237.793,32.715,86.914,1343.317,313
45,1685672122.422,-15.137,305.664,149.414,-28.809,1343.321,313
46,1685672122.426,-51.27,48.828,-45.898,-70.801,1343.325,313
47,1685672122.43,20.02,-27.832,15.137,33.691,1343.329,313
48,1685672122.433,62.5,434.57,163.574,88.379,1343.33,313
49,1685672122.437,-3.906,479.492,134.766,3.906,1343.334,313
50,1685672122.441,-61.035,65.918,-49.316,-72.754,1343.338,313
51,1685672122.445,-13.672,-195.312,-97.168,-6.348,1343.342,313
52,1685672122.449,47.363,0.488,61.523,77.148,1343.346,313
