,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1686017028.05,-18.066,214.355,31.25,-4.883,118792.474,330.77068631232817
1,1686017028.06,-24.414,-166.992,-150.391,-2.93,118792.478,325.3515122308848
2,1686017028.06,-17.578,72.754,62.5,16.602,118792.482,333.05621832817917
3,1686017028.06,-9.766,429.199,202.637,14.16,118792.486,320.667281039462
4,1686017028.07,-17.09,235.352,27.832,-14.16,118792.489,332.62228678245117
5,1686017028.07,-31.738,-410.156,-195.312,-16.602,118792.493,331.4355388261184
6,1686017028.08,-25.391,-473.145,-78.613,3.418,118792.497,325.42353005453487
7,1686017028.08,-21.973,6.348,152.344,5.859,118792.501,325.0344743127538
8,1686017028.08,-35.156,133.301,85.938,-4.883,118792.505,324.2083743291055
9,1686017028.09,-38.574,-711.914,-280.273,-4.883,118792.509,330.1380483773491
10,1686017028.09,-31.25,-494.141,-28.32,1.465,118792.513,327.4220647780322
11,1686017028.1,-16.113,310.059,262.695,7.324,118792.517,328.9812495066705
12,1686017028.11,-14.16,-93.75,9.277,1.953,118792.534,323.23225426336836
13,1686017028.12,-27.832,-635.254,-128.418,-10.254,118792.538,331.9082789718756
14,1686017028.12,-23.438,-75.195,129.883,-9.277,118792.542,326.4003339131163
15,1686017028.12,-8.301,361.328,186.523,5.859,118792.546,322.21196771780365
16,1686017028.13,-9.766,125.977,43.457,4.395,118792.549,326.1358330362237
17,1686017028.13,-14.16,-259.277,-101.562,-14.648,118792.553,317.61777213050226
18,1686017028.14,-12.695,-209.473,-48.828,-21.973,118792.557,325.5342137407432
19,1686017028.14,-17.578,275.879,196.289,-8.789,118792.561,334.68838335543757
20,1686017028.14,-9.766,-33.691,-5.371,-4.395,118792.564,329.48549569371175
21,1686017028.14,-15.137,-62.012,-23.438,0.488,118792.565,320.45175748981603
22,1686017028.15,-21.484,53.223,83.496,-30.273,118792.568,323.5629507196906
23,1686017028.15,-19.043,-887.695,-336.914,-16.602,118792.569,324.6242506240052
24,1686017028.15,-26.367,265.137,131.348,-36.133,118792.571,334.710214172387
25,1686017028.15,-31.738,-264.648,80.566,-34.668,118792.573,323.5030852107838
26,1686017028.15,-19.531,190.43,92.773,-18.555,118792.575,326.23050374400896
27,1686017028.16,-19.531,286.621,211.426,-14.648,118792.577,333.18702356404606
28,1686017028.16,-7.812,-229.98,-94.238,-1.953,118792.579,330.5001088666295
29,1686017028.16,-13.672,-347.656,-141.113,-6.348,118792.583,329.60688650637246
30,1686017028.16,-29.297,-173.828,-66.406,-22.461,118792.587,326.2897748352485
31,1686017028.17,-26.367,-60.547,30.273,-23.438,118792.591,329.4099401187189
32,1686017028.17,-20.508,-278.32,13.184,-10.254,118792.595,328.4007118873936
33,1686017028.18,-19.043,50.293,123.535,-14.16,118792.599,332.910016591509
34,1686017028.18,-23.926,241.211,122.07,-35.645,118792.603,330.10158557110805
35,1686017028.18,-27.832,-189.453,-87.402,-35.645,118792.607,325.8576979731678
36,1686017028.19,-18.555,-895.508,-375.488,-11.23,118792.608,323.88581623680767
37,1686017028.19,-25.391,-910.645,-171.387,-12.207,118792.612,328.0496724383208
38,1686017028.2,-39.062,13.672,196.777,-41.992,118792.616,323.0300056117327
39,1686017028.2,-41.992,85.938,72.754,-54.688,118792.62,328.0867345096268
40,1686017028.2,-35.645,-25.391,134.766,-35.645,118792.624,324.4180316025149
41,1686017028.21,-34.668,12.695,124.023,-26.855,118792.628,327.881412415453
42,1686017028.21,-35.645,83.008,125.488,-36.621,118792.632,323.44214564786745
43,1686017028.21,-38.086,-157.715,-79.102,-34.668,118792.636,323.81001020877557
44,1686017028.22,-35.156,-596.191,-122.07,-22.949,118792.64,334.375115192717
45,1686017028.22,-26.855,168.457,243.164,-19.531,118792.644,327.88026717497127
46,1686017028.23,-28.809,414.062,171.875,-21.484,118792.648,330.9221337233709
47,1686017028.23,-39.062,-82.031,-82.52,-37.109,118792.651,329.76299375197084
48,1686017028.23,-38.574,28.809,24.414,-46.387,118792.657,329.9215243765972
49,1686017028.24,-34.18,274.902,164.551,-28.32,118792.661,329.39985109690946
50,1686017028.24,-28.809,45.41,37.598,-21.484,118792.665,328.2479195434698
51,1686017028.24,-30.762,-423.34,-190.918,-38.574,118792.669,334.3678944490295
52,1686017028.25,-28.809,-178.711,1.465,-41.992,118792.673,333.97941851015696
53,1686017028.25,-13.672,71.777,160.645,-31.738,118792.677,326.8593744822316
54,1686017028.26,-12.695,-126.953,30.762,-28.809,118792.681,328.3665692879896
55,1686017028.26,-22.461,-614.746,-225.098,-33.203,118792.685,325.227825538262
56,1686017028.26,-31.25,-356.445,5.371,-52.734,118792.689,327.4815678689763
57,1686017028.27,-26.855,304.688,221.191,-50.293,118792.693,324.95946886999195
58,1686017028.27,-22.461,250.488,109.375,-29.785,118792.696,331.26680644354445
59,1686017028.28,-31.738,-79.59,-28.32,-43.945,118792.7,326.34461166123396
60,1686017028.28,-37.598,-256.348,-96.68,-60.059,118792.699,330.7435580179552
61,1686017028.28,-37.598,135.742,106.934,-50.293,118792.702,322.9513985235448
62,1686017028.29,-27.344,92.773,37.598,-32.715,118792.706,333.3218599445434
63,1686017028.29,-24.902,-475.098,-58.105,-29.785,118792.71,336.3980438591638
64,1686017028.29,-27.344,-265.625,4.883,-43.457,118792.714,327.38526151347344
65,1686017028.3,-23.438,-149.902,7.812,-47.852,118792.718,330.5475954529651
66,1686017028.3,-18.066,-307.617,23.438,-27.832,118792.722,321.68199010125625
67,1686017028.3,-11.719,-820.801,-211.426,-13.184,118792.726,331.86237819948593
68,1686017028.31,-11.23,-277.344,64.941,-38.574,118792.73,330.77533773057695
69,1686017028.31,-21.484,306.641,210.938,-50.781,118792.734,330.8402391848151
70,1686017028.32,-15.137,21.973,54.688,-28.809,118792.738,333.59500238103453
71,1686017028.32,1.465,192.871,151.855,-26.367,118792.741,329.96134675736323
72,1686017028.32,-3.906,420.41,159.668,-44.922,118792.746,326.1134806871419
73,1686017028.33,-14.16,187.988,42.969,-49.805,118792.75,330.94151888439166
74,1686017028.33,-16.602,-131.836,-44.922,-35.156,118792.754,330.7499427680164
75,1686017028.34,-18.555,142.09,93.262,-24.902,118792.758,328.7962976152764
76,1686017028.34,-13.184,325.195,114.258,-36.621,118792.762,329.1194490705514
77,1686017028.34,-17.09,-130.859,-153.32,-49.805,118792.765,328.321504967336
78,1686017028.35,-17.09,-814.941,-340.332,-32.227,118792.769,322.99622125911645
79,1686017028.35,-8.301,-510.742,1.465,-15.625,118792.773,333.0386993441918
80,1686017028.36,-16.602,314.453,239.258,-30.762,118792.777,326.8696797635047
81,1686017028.36,-28.809,126.953,29.297,-40.039,118792.781,330.76035336263595
82,1686017028.36,-28.809,-455.078,-88.379,-32.715,118792.785,328.0970456217619
83,1686017028.37,-25.879,-53.711,97.168,-22.461,118792.789,328.2526570337676
84,1686017028.37,-28.809,85.449,87.891,-34.668,118792.803,326.5148301556144
85,1686017028.37,-34.18,-208.496,-21.973,-49.805,118792.807,329.9883376043637
86,1686017028.38,-30.762,-228.516,-11.719,-48.34,118792.811,332.96251081677457
87,1686017028.38,-16.113,136.23,128.418,-30.273,118792.815,331.7287889610044
88,1686017028.38,-8.789,360.84,188.477,-22.461,118792.819,325.26974791648
89,1686017028.39,-11.719,-125.0,-67.383,-34.18,118792.822,330.70482304332853
90,1686017028.39,-16.602,-906.25,-346.191,-41.016,118792.826,323.4589956512738
91,1686017028.39,-24.902,-366.699,90.82,-35.156,118792.83,320.42524528887765
92,1686017028.4,-10.742,321.289,238.77,-13.184,118792.834,322.86990313958614
93,1686017028.4,-10.742,-51.27,-32.227,-15.137,118792.838,324.06978943070067
94,1686017028.41,-30.762,-104.98,63.477,-39.551,118792.842,323.9455333378462
95,1686017028.41,-25.391,240.234,169.922,-30.762,118792.846,330.86165074325834
96,1686017028.43,-11.719,332.031,156.738,-0.488,118792.849,330.8553708673714
97,1686017028.43,-14.648,-92.285,-85.449,1.953,118792.853,327.8398770633132
98,1686017028.44,-25.391,-203.125,-113.281,-15.625,118792.856,327.9901917600702
99,1686017028.44,-29.297,184.082,131.836,-7.324,118792.86,333.6481666343167
100,1686017028.44,-18.555,219.238,112.305,16.602,118792.864,330.00781548587224
101,1686017028.45,-12.207,-273.438,-125.977,26.367,118792.868,328.28965619060443
102,1686017028.45,-19.531,-338.867,-106.934,9.277,118792.872,324.3608133775463
103,1686017028.46,-23.438,118.164,123.047,-1.465,118792.876,328.9264983403976
104,1686017028.46,-18.555,72.266,62.5,10.742,118792.88,329.81927504002874
105,1686017028.46,-16.602,-631.836,-214.355,18.555,118792.884,325.5012904046516
106,1686017028.47,-27.344,-268.066,24.414,-6.836,118792.888,325.83581976859176
107,1686017028.47,-32.715,131.836,145.02,-24.902,118792.892,326.4497301851664
108,1686017028.47,-28.32,-284.668,-28.809,-13.672,118792.893,331.4137633971184
109,1686017028.48,-24.902,-758.301,-204.59,5.859,118792.897,327.58076983686533
110,1686017028.48,-29.785,-194.336,70.801,2.441,118792.901,328.08085743260875
111,1686017028.48,-34.668,277.832,176.27,-13.672,118792.905,329.42324165733385
112,1686017028.49,-33.691,-97.168,-24.902,-15.137,118792.909,326.15542555470773
113,1686017028.49,-32.715,-315.43,-20.508,2.93,118792.913,320.72582739122
