,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1685413125.276,-1.953,188.965,-61.523,11.23,1986.173,319
1,1685413125.28,-8.789,304.688,-58.105,2.93,1986.177,319
2,1685413125.284,5.859,374.512,-60.547,16.602,1986.181,319
3,1685413125.288,28.809,160.645,-74.219,52.246,1986.185,319
4,1685413125.292,30.273,-42.969,-67.871,51.758,1986.189,320
5,1685413125.296,16.602,-157.227,-64.453,30.762,1986.193,320
6,1685413125.3,20.02,-71.289,-56.641,31.738,1986.197,320
7,1685413125.303,34.668,-199.707,-77.148,46.875,1986.201,320
8,1685413125.307,32.227,-785.156,-72.754,50.781,1986.204,322
9,1685413125.311,17.578,-198.242,-57.617,25.391,1986.208,322
10,1685413125.315,16.113,88.379,-80.566,7.324,1986.212,322
11,1685413125.319,23.438,-292.48,-87.402,28.809,1986.216,322
12,1685413125.321,27.832,-85.938,-66.406,42.48,1986.218,322
13,1685413125.325,24.902,424.316,-60.059,21.484,1986.222,322
14,1685413125.329,20.02,334.961,-77.637,15.137,1986.226,322
15,1685413125.333,18.555,49.316,-67.383,36.133,1986.23,320
16,1685413125.337,26.367,282.227,-66.895,47.363,1986.234,320
17,1685413125.341,21.973,187.012,-83.008,26.855,1986.238,320
18,1685413125.345,6.836,-154.297,-98.145,7.324,1986.242,319
19,1685413125.348,11.719,-773.926,-90.82,37.109,1986.246,319
20,1685413125.352,29.297,-478.027,-32.227,65.43,1986.25,319
21,1685413125.356,40.527,451.172,-54.688,48.828,1986.254,319
22,1685413125.36,21.484,269.043,-89.355,24.414,1986.258,320
23,1685413125.364,9.277,74.707,-64.453,26.367,1986.261,320
24,1685413125.366,19.531,409.18,-60.059,47.363,1986.263,320
25,1685413125.37,14.648,507.812,-72.754,48.828,1986.267,320
26,1685413125.374,18.555,186.035,-79.102,29.297,1986.271,322
27,1685413125.378,25.391,56.152,-67.871,31.25,1986.275,322
28,1685413125.382,25.391,277.344,-56.152,59.082,1986.279,322
29,1685413125.386,20.996,202.637,-68.848,60.547,1986.283,324
30,1685413125.39,12.207,-285.156,-86.426,33.691,1986.287,324
31,1685413125.393,7.324,-521.973,-56.152,24.902,1986.291,324
32,1685413125.397,12.207,75.195,-54.199,34.18,1986.295,324
33,1685413125.401,24.414,211.914,-79.102,39.062,1986.299,324
34,1685413125.405,17.578,-420.898,-90.332,20.02,1986.302,324
35,1685413125.409,15.625,-620.605,-53.223,14.16,1986.306,324
36,1685413125.411,24.902,210.938,-49.316,22.461,1986.321,324
37,1685413125.415,20.996,398.926,-84.961,20.508,1986.325,323
38,1685413125.419,17.578,86.914,-77.148,9.277,1986.329,323
39,1685413125.423,10.254,248.535,-68.359,-5.859,1986.333,323
40,1685413125.427,14.16,423.828,-62.5,7.324,1986.337,323
41,1685413125.431,17.578,91.797,-74.707,35.156,1986.341,323
42,1685413125.435,19.043,-638.184,-91.309,36.621,1986.345,323
43,1685413125.438,23.438,-254.883,-64.453,6.836,1986.348,323
44,1685413125.442,15.137,377.441,-88.867,-0.488,1986.352,323
45,1685413125.446,20.508,256.348,-99.121,40.039,1986.356,324
46,1685413125.45,32.227,210.938,-71.289,46.875,1986.36,324
47,1685413125.454,27.832,161.621,-90.332,17.578,1986.364,324
48,1685413125.457,27.344,98.633,-80.078,5.859,1986.367,326
49,1685413125.461,23.438,44.922,-70.801,16.602,1986.371,326
50,1685413125.465,28.32,-114.746,-66.406,38.086,1986.375,326
51,1685413125.469,35.645,210.938,-68.848,33.203,1986.379,327
52,1685413125.473,25.879,339.844,-79.59,13.672,1986.382,327
53,1685413125.477,20.996,-182.129,-89.844,20.02,1986.386,327
54,1685413125.481,23.926,-441.406,-64.453,39.062,1986.39,327
55,1685413125.484,19.043,221.68,-66.406,31.738,1986.394,327
56,1685413125.488,5.859,372.559,-97.656,6.836,1986.398,327
57,1685413125.492,7.812,-153.32,-97.168,9.766,1986.402,327
58,1685413125.496,17.578,-238.281,-75.195,45.898,1986.406,327
59,1685413125.5,33.203,282.227,-66.895,50.293,1986.41,325
60,1685413125.517,39.551,365.723,-79.59,30.762,1986.416,324
61,1685413125.521,24.414,-413.086,-97.656,36.133,1986.42,324
62,1685413125.525,31.738,-550.293,-65.43,48.828,1986.424,326
63,1685413125.529,47.363,226.074,-40.039,62.012,1986.428,326
64,1685413125.533,46.387,338.379,-73.242,52.246,1986.432,326
65,1685413125.537,42.48,-593.262,-100.586,33.691,1986.436,327
66,1685413125.541,50.781,-519.531,-48.34,50.293,1986.439,327
67,1685413125.544,66.895,398.926,-39.062,65.43,1986.443,327
68,1685413125.548,53.223,256.836,-75.684,50.781,1986.447,327
69,1685413125.552,26.367,-298.34,-54.688,28.809,1986.451,328
70,1685413125.556,32.227,37.598,-40.039,29.297,1986.455,328
71,1685413125.56,41.016,227.051,-52.246,53.223,1986.459,328
72,1685413125.561,35.156,123.535,-73.73,52.734,1986.458,328
73,1685413125.565,35.156,87.891,-73.73,37.598,1986.462,328
74,1685413125.569,32.715,226.074,-54.688,23.926,1986.466,327
75,1685413125.573,32.227,314.941,-55.664,27.832,1986.47,327
76,1685413125.577,23.438,33.203,-76.172,33.691,1986.474,327
77,1685413125.581,8.301,-261.23,-90.332,14.648,1986.478,326
78,1685413125.585,4.883,-295.898,-75.684,2.441,1986.482,326
79,1685413125.588,12.207,2.441,-59.082,20.02,1986.486,326
80,1685413125.592,24.414,-147.949,-96.68,33.691,1986.489,326
81,1685413125.596,21.973,-901.855,-90.332,31.738,1986.493,326
82,1685413125.6,16.602,-419.434,-49.805,10.254,1986.497,326
83,1685413125.604,26.367,254.883,-57.129,23.438,1986.501,326
84,1685413125.606,41.992,-181.152,-79.102,66.406,1986.502,326
85,1685413125.61,39.551,-210.449,-56.641,57.129,1986.506,328
86,1685413125.614,26.367,289.551,-46.387,22.949,1986.51,328
87,1685413125.618,18.066,251.953,-59.082,26.855,1986.514,328
88,1685413125.622,21.484,39.062,-50.781,51.27,1986.518,330
89,1685413125.626,24.414,-63.965,-53.711,46.875,1986.521,330
90,1685413125.63,6.348,-2.441,-57.617,20.508,1986.525,330
91,1685413125.633,0.488,-33.691,-67.871,20.508,1986.529,330
92,1685413125.637,0.488,-748.535,-72.266,40.039,1986.533,329
93,1685413125.641,3.906,-480.469,-27.832,49.805,1986.537,329
94,1685413125.645,10.742,334.961,-45.41,27.832,1986.541,329
95,1685413125.649,4.883,129.395,-70.801,8.301,1986.545,328
96,1685413125.651,11.719,40.039,-50.293,39.551,1986.547,328
