timestamps,emg_signal
1685242609059.3816,309
1685242609078.3677,304
1685242609080.415,305
1685242609096.5444,310
1685242609116.6904,315
1685242609124.903,314
1685242609143.0823,308
1685242609159.8713,304
1685242609162.938,306
1685242609183.087,312
1685242609200.6323,316
1685242609202.9553,313
1685242609224.191,306
1685242609241.8503,304
1685242609258.5283,308
1685242609260.3213,314
1685242609280.691,316
1685242609298.9648,311
1685242609300.7651,305
1685242609316.522,304
1685242609340.2373,310
1685242609341.5706,315
1685242609358.964,315
1685242609378.8284,309
1685242609378.8284,304
1685242609396.118,305
1685242609413.6794,311
1685242609425.1926,315
1685242609442.944,314
1685242609459.109,308
1685242609475.2966,304
1685242609492.261,307
1685242609492.261,313
1685242609510.1062,316
1685242609530.7886,313
1685242609530.7886,306
1685242609548.2627,304
1685242609566.7644,308
1685242609584.06,314
1685242609601.9473,316
1685242609604.3296,311
1685242609626.3845,305
1685242609642.9292,305
1685242609645.1917,310
1685242609662.808,315
1685242609682.2358,315
1685242609682.2358,309
1685242609699.7766,304
1685242609717.994,306
1685242609726.752,311
1685242609742.7625,316
1685242609760.1597,313
1685242609778.178,307
1685242609780.6802,304
1685242609798.49,307
1685242609816.406,313
1685242609827.4653,316
1685242609847.0144,312
1685242609853.1218,306
1685242609870.765,304
1685242609886.8083,308
1685242609903.6875,314
1685242609907.6035,315
1685242609927.612,310
1685242609945.235,305
1685242609948.5364,305
1685242609968.5618,310
1685242609986.5012,315
1685242609992.1763,315
1685242610007.9844,309
1685242610028.07,304
1685242610028.07,306
1685242610045.9246,312
1685242610067.03,316
1685242610067.03,313
1685242610084.4133,307
1685242610102.2156,304
1685242610120.6191,308
1685242610128.673,314
1685242610144.6807,316
1685242610161.505,312
1685242610178.987,306
1685242610181.57,304
1685242610202.2458,309
1685242610219.5898,315
1685242610229.1072,315
1685242610248.935,310
1685242610256.942,305
1685242610273.654,305
1685242610290.6729,310
1685242610290.6729,315
1685242610306.4644,314
1685242610329.7185,308
1685242610329.7185,304
1685242610348.3303,306
1685242610366.295,312
1685242610384.0383,315
1685242610386.9324,312
1685242610404.3904,306
1685242610422.2812,303
1685242610430.3306,306
1685242610447.901,312
1685242610465.3735,314
1685242610468.936,309
1685242610492.5469,303
1685242610492.5469,302
1685242610509.7493,307
1685242610530.8628,313
1685242610550.6116,313
1685242610550.6116,307
1685242610568.2324,303
1685242610586.748,304
1685242610605.0137,309
1685242610605.0137,314
1685242610631.0898,312
1685242610647.3713,307
1685242610648.6106,303
1685242610666.5095,306
1685242610685.2375,312
1685242610689.6619,315
1685242610707.4878,312
1685242610720.6975,306
1685242610733.258,304
1685242610749.4548,308
1685242610766.8433,314
1685242610784.4912,315
1685242610788.0823,310
1685242610808.4,305
1685242610826.1243,304
1685242610832.1382,310
1685242610847.8518,315
1685242610865.2927,315
1685242610865.2927,309
1685242610883.6826,304
1685242610903.6694,306
1685242610921.3745,311
1685242610932.3914,316
1685242610949.8484,313
1685242610949.8484,307
1685242610968.351,304
1685242610988.709,307
1685242610988.709,313
1685242611007.857,316
1685242611027.261,312
1685242611048.4187,306
1685242611049.9531,304
1685242611067.7886,309
1685242611085.1094,315
1685242611102.001,315
1685242611103.2197,310
1685242611120.8389,304
1685242611141.3247,303
