,timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp,emg_signal
0,1685243087648.0,-1000.0,-891.113,-790.527,-987.305,38831.274,314
1,1685243087652.0,-968.262,-1000.0,-736.816,-691.895,38831.278,314
2,1685243087656.0,664.062,681.641,595.703,-1000.0,38831.282,314
3,1685243087660.0,989.258,997.559,665.039,508.301,38831.286,314
4,1685243087664.0,-741.699,-669.434,-702.148,-852.539,38831.29,308
5,1685243087668.0,-1000.0,-1000.0,-1000.0,-298.34,38831.294,308
6,1685243087672.0,644.531,411.133,173.34,-1000.0,38831.297,308
7,1685243087675.0,988.281,-958.496,739.258,-155.762,38831.301,304
8,1685243087679.0,-630.859,-491.699,-573.73,-870.605,38831.305,304
9,1685243087683.0,-1000.0,-1000.0,-963.867,564.453,38831.309,304
10,1685243087687.0,114.258,-199.707,14.16,-1000.0,38831.313,307
11,1685243087691.0,-913.086,-994.629,707.52,-845.703,38831.317,307
